,LGA,Period,avg_response_time_min,total_num_first_responses
129,Moira,30/09/2021,34:04,463
130,Monash,30/09/2021,34:35,"1,421"
131,Moonee Valley,30/09/2021,69:07,"1,419"
132,Moorabool,30/09/2021,34:13,365
133,Moreland,30/09/2021,38:53,"1,529"
134,Mornington Peninsula,30/09/2021,26:16,"1,913"
135,Mount Alexander,30/09/2021,31:52,232
136,Moyne,30/09/2021,32:37,141
137,Murrindindi,30/09/2021,36:23,167
138,Nillumbik,30/09/2021,38:43,366
139,Northern Grampians,30/09/2021,30:38,200
140,Port Phillip,30/09/2021,34:52,816
141,Pyrenees,30/09/2021,35:06,91
142,Queenscliffe,30/09/2021,33:48,37
143,South Gippsland,30/09/2021,34:59,314
144,Southern Grampians,30/09/2021,29:35,192
145,Stonnington,30/09/2021,36:17,706
146,Strathbogie,30/09/2021,35:24,161
147,Surf Coast,30/09/2021,29:19,248
148,Swan Hill,30/09/2021,30:19,267
149,Towong,30/09/2021,36:03,85
150,Wangaratta,30/09/2021,34:45,414
151,Warrnambool,30/09/2021,26:38,444
152,Wellington,30/09/2021,28:27,581
153,West Wimmera,30/09/2021,31:20,42
154,Whitehorse,30/09/2021,35:59,"1,230"
155,Whittlesea,30/09/2021,35:46,"1,742"
156,Wodonga,30/09/2021,29:44,458
157,Wyndham,30/09/2021,32:57,"1,688"
158,Yarra,30/09/2021,32:24,722
159,Yarra Ranges,30/09/2021,29:24,"1,180"
160,Yarriambiack,30/09/2021,35:26,73
161,Unincorporated,30/09/2021,34:11,87
162,Interstate LGAs,30/09/2021,29:50,146
163,Total AV,30/09/2021,33:43,"59,240"
164,Alpine,31/12/2021,47:19,180
165,Ararat,31/12/2021,38:11,176
166,Ballarat,31/12/2021,29:21,"1,095"
167,Banyule,31/12/2021,45:46,789
168,Bass Coast,31/12/2021,41:42,513
169,Baw Baw,31/12/2021,37:28,507
170,Bayside,31/12/2021,51:54,540
171,Benalla,31/12/2021,36:10,204
172,Boroondara,31/12/2021,46:43,686
173,Brimbank,31/12/2021,45:37,"1,318"
174,Buloke,31/12/2021,58:25,68
175,Campaspe,31/12/2021,34:59,463
176,Cardinia,31/12/2021,39:12,709
177,Casey,31/12/2021,40:33,"2,122"
178,Central Goldfields,31/12/2021,43:19,209
179,Colac-Otway,31/12/2021,32:18,238
180,Corangamite,31/12/2021,39:29,182
181,Darebin,31/12/2021,45:06,"1,020"
182,East Gippsland,31/12/2021,42:05,660
183,Frankston,31/12/2021,35:46,"1,270"
184,Gannawarra,31/12/2021,50:27,120
185,Glen Eira,31/12/2021,47:56,688
186,Glenelg,31/12/2021,28:52,197
187,Golden Plains,31/12/2021,39:51,108
188,Greater Bendigo,31/12/2021,42:40,"1,081"
189,Greater Dandenong,31/12/2021,40:40,"1,235"
190,Greater Geelong,31/12/2021,36:21,2297
191,Greater Shepparton,31/12/2021,38:25,833
192,Hepburn,31/12/2021,36:40,134
193,Hindmarsh,31/12/2021,44:10,67
194,Hobsons Bay,31/12/2021,43:34,597
195,Horsham,31/12/2021,35:55,304
196,Hume,31/12/2021,45:33,"1,711"
197,Indigo,31/12/2021,41:42,126
198,Kingston,31/12/2021,43:04,904
199,Knox,31/12/2021,37:53,942
200,Latrobe,31/12/2021,32:18,962
201,Loddon,31/12/2021,40:58,88
202,Macedon Ranges,31/12/2021,31:34,420
203,Manningham,31/12/2021,43:10,600
204,Mansfield,31/12/2021,44:27,110
205,Maribyrnong,31/12/2021,48:23,570
206,Maroondah,31/12/2021,37:49,880
207,Melbourne,31/12/2021,41:05,"1,487"
208,Melton,31/12/2021,45:43,"1,132"
209,Mildura,31/12/2021,37:31,633
210,Mitchell,31/12/2021,37:36,510
211,Moira,31/12/2021,46:01,411
212,Monash,31/12/2021,45:54,"1,060"
213,Moonee Valley,31/12/2021,81:25,"1,087"
214,Moorabool,31/12/2021,46:09,289
215,Moreland,31/12/2021,48:19,"1,110"
216,Mornington Peninsula,31/12/2021,35:21,"1,473"
217,Mount Alexander,31/12/2021,40:27,213
218,Moyne,31/12/2021,36:36,132
219,Murrindindi,31/12/2021,44:25,193
220,Nillumbik,31/12/2021,45:46,298
221,Northern Grampians,31/12/2021,34:13,190
222,Port Phillip,31/12/2021,45:47,701
223,Pyrenees,31/12/2021,43:38,85
224,Queenscliffe,31/12/2021,33:42,36
225,South Gippsland,31/12/2021,40:33,281
226,Southern Grampians,31/12/2021,31:22,180
227,Stonnington,31/12/2021,49:13,577
228,Strathbogie,31/12/2021,44:35,132
229,Surf Coast,31/12/2021,33:09,226
230,Swan Hill,31/12/2021,36:30,240
231,Towong,31/12/2021,36:33,76
232,Wangaratta,31/12/2021,36:22,374
233,Warrnambool,31/12/2021,32:15,318
234,Wellington,31/12/2021,35:55,438
235,West Wimmera,31/12/2021,49:17,35
236,Whitehorse,31/12/2021,43:54,981
237,Whittlesea,31/12/2021,44:23,"1,393"
238,Wodonga,31/12/2021,35:32,396
239,Wyndham,31/12/2021,41:58,"1,393"
240,Yarra,31/12/2021,42:20,643
241,Yarra Ranges,31/12/2021,37:37,"1,061"
242,Yarriambiack,31/12/2021,38:58,86
243,Unincorporated,31/12/2021,91:29,4
244,Interstate LGAs,31/12/2021,45:26,133
245,Total AV,31/12/2021,42:07,"47,950"
246,Alpine,31/03/2022,45:15,175
247,Ararat,31/03/2022,39:25,177
248,Ballarat,31/03/2022,36:41,961
249,Banyule,31/03/2022,46:19,681
250,Bass Coast,31/03/2022,42:29,519
251,Baw Baw,31/03/2022,35:01,485
252,Bayside,31/03/2022,53:04,488
253,Benalla,31/03/2022,42:13,169
254,Boroondara,31/03/2022,51:45,691
255,Brimbank,31/03/2022,44:23,"1,218"
256,Buloke,31/03/2022,55:07,51
257,Campaspe,31/03/2022,45:52,418
258,Cardinia,31/03/2022,42:02,643
259,Casey,31/03/2022,43:20,"1,809"
260,Central Goldfields,31/03/2022,42:49,194
261,Colac-Otway,31/03/2022,42:23,253
262,Corangamite,31/03/2022,37:30,175
263,Darebin,31/03/2022,45:44,954
264,East Gippsland,31/03/2022,46:34,569
265,Frankston,31/03/2022,37:20,"1,195"
266,Gannawarra,31/03/2022,50:42,119
267,Glen Eira,31/03/2022,49:34,631
268,Glenelg,31/03/2022,36:10,209
269,Golden Plains,31/03/2022,37:29,85
270,Greater Bendigo,31/03/2022,43:10,"1,077"
271,Greater Dandenong,31/03/2022,40:37,"1,076"
272,Greater Geelong,31/03/2022,40:47,"2,018"
273,Greater Shepparton,31/03/2022,41:01,709
274,Hepburn,31/03/2022,37:29,155
275,Hindmarsh,31/03/2022,46:24,62
276,Hobsons Bay,31/03/2022,45:04,512
277,Horsham,31/03/2022,39:36,285
278,Hume,31/03/2022,44:32,"1,548"
279,Indigo,31/03/2022,44:02,104
280,Kingston,31/03/2022,45:03,875
281,Knox,31/03/2022,40:45,853
282,Latrobe,31/03/2022,33:12,889
283,Loddon,31/03/2022,45:33,66
284,Macedon Ranges,31/03/2022,36:28,384
285,Manningham,31/03/2022,47:08,520
286,Mansfield,31/03/2022,42:35,128
287,Maribyrnong,31/03/2022,43:53,544
288,Maroondah,31/03/2022,40:35,806
289,Melbourne,31/03/2022,42:19,"1,444"
290,Melton,31/03/2022,44:13,"1,078"
291,Mildura,31/03/2022,43:38,584
292,Mitchell,31/03/2022,37:54,470
293,Moira,31/03/2022,47:10,417
294,Monash,31/03/2022,48:46,"1,041"
295,Moonee Valley,31/03/2022,82:04,"1,016"
296,Moorabool,31/03/2022,45:18,322
297,Moreland,31/03/2022,47:53,"1,079"
298,Mornington Peninsula,31/03/2022,37:51,"1,354"
299,Mount Alexander,31/03/2022,43:45,197
300,Moyne,31/03/2022,46:17,17
301,Murrindindi,31/03/2022,42:39,208
302,Nillumbik,31/03/2022,43:08,299
303,Northern Grampians,31/03/2022,38:42,177
304,Port Phillip,31/03/2022,46:33,672
305,Pyrenees,31/03/2022,43:42,57
306,Queenscliffe,31/03/2022,34:17,36
307,South Gippsland,31/03/2022,38:14,277
308,Southern Grampians,31/03/2022,39:03,148
309,Stonnington,31/03/2022,47:26,516
310,Strathbogie,31/03/2022,51:07,149
311,Surf Coast,31/03/2022,37:10,207
312,Swan Hill,31/03/2022,43:25,237
313,Towong,31/03/2022,33:13,84
314,Wangaratta,31/03/2022,45:10,288
315,Warrnambool,31/03/2022,41:47,347
316,Wellington,31/03/2022,39:00,392
317,West Wimmera,31/03/2022,40:56,33
318,Whitehorse,31/03/2022,45:41,886
319,Whittlesea,31/03/2022,42:19,"1,235"
320,Wodonga,31/03/2022,39:18,328
321,Wyndham,31/03/2022,40:29,"1,263"
322,Yarra,31/03/2022,48:27,642
323,Yarra Ranges,31/03/2022,37:41,969
324,Yarriambiack,31/03/2022,54:16,56
325,Unincorporated,31/03/2022,55:14,18
326,Interstate LGAs,31/03/2022,45:29,140
327,Total AV,31/03/2022,43:42,"44,263"
