,LGA,Period,avg_response_time_min,total_num_first_responses
0,Alpine,30/06/2021,45:14,176
1,Ararat,30/06/2021,34:09,183
2,Ballarat,30/06/2021,31:17,"1,267"
3,Banyule,30/06/2021,41:46,"1,018"
4,Bass Coast,30/06/2021,39:45,587
5,Baw Baw,30/06/2021,32:45,625
6,Bayside,30/06/2021,44:48,611
7,Benalla,30/06/2021,34:25,196
8,Boroondara,30/06/2021,42:08,883
9,Brimbank,30/06/2021,37:29,"1,491"
10,Buloke,30/06/2021,41:50,78
11,Campaspe,30/06/2021,30:35,511
12,Cardinia,30/06/2021,31:30,838
13,Casey,30/06/2021,36:41,"2,290"
14,Central Goldfields,30/06/2021,36:14,225
15,Colac-Otway,30/06/2021,36:02,270
16,Corangamite,30/06/2021,30:57,181
17,Darebin,30/06/2021,39:18,"1,171"
18,East Gippsland,30/06/2021,37:21,699
19,Frankston,30/06/2021,32:49,1532
20,Gannawarra,30/06/2021,44:50,131
21,Glen Eira,30/06/2021,42:01,866
22,Glenelg,30/06/2021,27:16,218
23,Golden Plains,30/06/2021,36:02,136
24,Greater Bendigo,30/06/2021,34:02,"1,223"
25,Greater Dandenong,30/06/2021,34:26,"1,374"
26,Greater Geelong,30/06/2021,32:40,"2,661"
27,Greater Shepparton,30/06/2021,32:02,890
28,Hepburn,30/06/2021,35:12,171
29,Hindmarsh,30/06/2021,30:53,80
30,Hobsons Bay,30/06/2021,37:35,681
31,Horsham,30/06/2021,32:25,353
32,Hume,30/06/2021,37:48,"1,881"
33,Indigo,30/06/2021,38:41,107
34,Kingston,30/06/2021,37:18,1431
35,Knox,30/06/2021,34:06,"1,190"
36,Latrobe,30/06/2021,26:16,"1,084"
37,Loddon,30/06/2021,42:53,99
38,Macedon Ranges,30/06/2021,30:18,512
39,Manningham,30/06/2021,43:12,747
40,Mansfield,30/06/2021,39:37,96
41,Maribyrnong,30/06/2021,36:40,653
42,Maroondah,30/06/2021,31:41,950
43,Melbourne,30/06/2021,37:25,"1,754"
44,Melton,30/06/2021,40:13,"1,219"
45,Mildura,30/06/2021,34:53,650
46,Mitchell,30/06/2021,32:56,566
47,Moira,30/06/2021,40:51,432
48,Monash,30/06/2021,39:32,"1,306"
49,Moonee Valley,30/06/2021,76:38,"1,385"
50,Moorabool,30/06/2021,38:55,352
51,Moreland,30/06/2021,40:11,"1,361"
52,Mornington Peninsula,30/06/2021,31:34,"1,707"
53,Mount Alexander,30/06/2021,38:11,229
54,Moyne,30/06/2021,34:53,142
55,Murrindindi,30/06/2021,38:45,185
56,Nillumbik,30/06/2021,43:34,389
57,Northern Grampians,30/06/2021,34:04,213
58,Port Phillip,30/06/2021,40:05,836
59,Pyrenees,30/06/2021,31:08,72
60,Queenscliffe,30/06/2021,26:18,36
61,South Gippsland,30/06/2021,36:34,307
62,Southern Grampians,30/06/2021,31:58,168
63,Stonnington,30/06/2021,42:31,702
64,Strathbogie,30/06/2021,38:54,145
65,Surf Coast,30/06/2021,26:46,245
66,Swan Hill,30/06/2021,32:42,283
67,Towong,30/06/2021,32:58,74
68,Wangaratta,30/06/2021,34:14,360
69,Warrnambool,30/06/2021,28:23,383
70,Wellington,30/06/2021,31:26,532
71,West Wimmera,30/06/2021,38:24,41
72,Whitehorse,30/06/2021,38:26,"1,184"
73,Whittlesea,30/06/2021,36:48,"1,504"
74,Wodonga,30/06/2021,32:30,415
75,Wyndham,30/06/2021,34:20,"1,549"
76,Yarra,30/06/2021,36:46,735
77,Yarra Ranges,30/06/2021,32:11,"1,235"
78,Yarriambiack,30/06/2021,36:44,85
79,Unincorporated,30/06/2021,35:21,13
80,Interstate LGAs,30/06/2021,37:22,156
81,Total AV,30/06/2021,36:57,"55,016"
82,Alpine,30/09/2021,38:42,178
83,Ararat,30/09/2021,30:07,211
84,Ballarat,30/09/2021,29:51,"1,326"
85,Banyule,30/09/2021,34:01,971
86,Bass Coast,30/09/2021,35:26,584
87,Baw Baw,30/09/2021,30:34,643
88,Bayside,30/09/2021,38:06,682
89,Benalla,30/09/2021,28:45,224
90,Boroondara,30/09/2021,36:00,"1,008"
91,Brimbank,30/09/2021,36:03,"1,550"
92,Buloke,30/09/2021,43:50,66
93,Campaspe,30/09/2021,29:59,520
94,Cardinia,30/09/2021,30:19,876
95,Casey,30/09/2021,31:23,"2,655"
96,Central Goldfields,30/09/2021,30:28,256
97,Colac-Otway,30/09/2021,31:42,266
98,Corangamite,30/09/2021,30:14,204
99,Darebin,30/09/2021,35:13,"1,360"
100,East Gippsland,30/09/2021,37:24,756
101,Frankston,30/09/2021,29:39,"1,516"
102,Gannawarra,30/09/2021,39:05,147
103,Glen Eira,30/09/2021,37:17,"1,041"
104,Glenelg,30/09/2021,27:17,265
105,Golden Plains,30/09/2021,34:43,134
106,Greater Bendigo,30/09/2021,31:43,"1,368"
107,Greater Dandenong,30/09/2021,31:12,"1,503"
108,Greater Geelong,30/09/2021,31:49,"2,801"
109,Greater Shepparton,30/09/2021,28:31,897
110,Hepburn,30/09/2021,34:15,187
111,Hindmarsh,30/09/2021,32:53,97
112,Hobsons Bay,30/09/2021,35:06,750
113,Horsham,30/09/2021,27:40,372
114,Hume,30/09/2021,36:59,"2,242"
115,Indigo,30/09/2021,31:27,134
116,Kingston,30/09/2021,34:08,"1,262"
117,Knox,30/09/2021,28:34,"1,293"
118,Latrobe,30/09/2021,24:22,"1,237"
119,Loddon,30/09/2021,44:26,13
120,Macedon Ranges,30/09/2021,26:18,527
121,Manningham,30/09/2021,37:37,772
122,Mansfield,30/09/2021,40:18,108
123,Maribyrnong,30/09/2021,34:48,703
124,Maroondah,30/09/2021,31:43,"1,135"
125,Melbourne,30/09/2021,35:30,"1,645"
126,Melton,30/09/2021,35:00,"1,358"
127,Mildura,30/09/2021,29:45,764
128,Mitchell,30/09/2021,31:10,617
