,LGA,Period,%_responses_more_than_15min,avg_response_time_min,total_num_first_responses
53,Mount Alexander,30/06/2021,46.6%,19:41,262
54,Moyne,30/06/2021,39.8%,18:13,191
55,Murrindindi,30/06/2021,31.7%,22:50,240
56,Nillumbik,30/06/2021,51.0%,17:32,624
57,Northern Grampians,30/06/2021,61.9%,16:59,181
58,Port Phillip,30/06/2021,83.7%,11:52,"1,255"
59,Pyrenees,30/06/2021,49.6%,19:09,131
60,Queenscliffe,30/06/2021,56.1%,16:25,66
61,South Gippsland,30/06/2021,44.5%,18:55,431
62,Southern Grampians,30/06/2021,62.1%,16:32,211
63,Stonnington,30/06/2021,81.6%,12:27,992
64,Strathbogie,30/06/2021,34.8%,21:19,204
65,Surf Coast,30/06/2021,56.9%,16:04,392
66,Swan Hill,30/06/2021,68.1%,14:58,310
67,Towong,30/06/2021,45.2%,22:44,73
68,Wangaratta,30/06/2021,70.7%,14:55,454
69,Warrnambool,30/06/2021,90.5%,10:03,465
70,Wellington,30/06/2021,59.4%,15:59,695
71,West Wimmera,30/06/2021,37.3%,21:26,67
72,Whitehorse,30/06/2021,83.1%,11:53,"1,714"
73,Whittlesea,30/06/2021,71.7%,13:57,"2,845"
74,Wodonga,30/06/2021,82.7%,12:01,620
75,Wyndham,30/06/2021,74.6%,13:18,"2,613"
76,Yarra,30/06/2021,84.4%,11:42,"1,131"
77,Yarra Ranges,30/06/2021,62.8%,15:13,"1,893"
78,Yarriambiack,30/06/2021,36.6%,22:15,142
79,Unincorporated,30/06/2021,41.2%,33:29,17
80,Interstate LGAs,30/06/2021,58.3%,18:54,302
81,Total AV,30/06/2021,73.1%,13:44,"84,441"
82,Alpine,30/09/2021,43.8%,19:46,160
83,Ararat,30/09/2021,61.2%,16:49,152
84,Ballarat,30/09/2021,82.7%,11:51,"1,847"
85,Banyule,30/09/2021,79.1%,12:46,"1,498"
86,Bass Coast,30/09/2021,62.8%,15:45,615
87,Baw Baw,30/09/2021,63.6%,15:30,800
88,Bayside,30/09/2021,81.8%,12:31,850
89,Benalla,30/09/2021,62.1%,15:57,203
90,Boroondara,30/09/2021,83.1%,12:36,"1,314"
91,Brimbank,30/09/2021,76.5%,13:07,"2,616"
92,Buloke,30/09/2021,34.6%,25:03,81
93,Campaspe,30/09/2021,59.8%,15:12,517
94,Cardinia,30/09/2021,61.4%,15:22,"1,429"
95,Casey,30/09/2021,75.5%,13:16,"3,839"
96,Central Goldfields,30/09/2021,53.1%,18:22,224
97,Colac-Otway,30/09/2021,65.5%,15:40,235
98,Corangamite,30/09/2021,54.1%,17:33,229
99,Darebin,30/09/2021,80.9%,12:40,"1,915"
100,East Gippsland,30/09/2021,57.4%,16:59,814
101,Frankston,30/09/2021,81.9%,11:55,"2,064"
102,Gannawarra,30/09/2021,49.2%,20:10,124
103,Glen Eira,30/09/2021,82.9%,12:11,"1,410"
104,Glenelg,30/09/2021,74.2%,13:27,240
105,Golden Plains,30/09/2021,31.9%,20:04,232
106,Greater Bendigo,30/09/2021,75.2%,13:18,"1,897"
107,Greater Dandenong,30/09/2021,84.2%,11:47,"2,017"
108,Greater Geelong,30/09/2021,77.2%,12:45,"3,900"
109,Greater Shepparton,30/09/2021,77.7%,12:39,"1,124"
110,Hepburn,30/09/2021,45.2%,18:11,228
111,Hindmarsh,30/09/2021,55.2%,19:28,87
112,Hobsons Bay,30/09/2021,76.6%,13:07,"1,149"
113,Horsham,30/09/2021,82.8%,11:41,302
114,Hume,30/09/2021,65.5%,15:12,"4,304"
115,Indigo,30/09/2021,34.1%,20:32,170
116,Kingston,30/09/2021,79.5%,12:14,"1,789"
117,Knox,30/09/2021,80.9%,12:16,"1,727"
118,Latrobe,30/09/2021,75.5%,12:14,"1,648"
119,Loddon,30/09/2021,32.5%,22:59,123
120,Macedon Ranges,30/09/2021,62.0%,15:22,589
121,Manningham,30/09/2021,75.0%,13:54,"1,155"
122,Mansfield,30/09/2021,39.0%,27:39,82
123,Maribyrnong,30/09/2021,80.1%,12:35,885
124,Maroondah,30/09/2021,83.0%,11:37,"1,339"
125,Melbourne,30/09/2021,85.3%,11:09,"1,981"
126,Melton,30/09/2021,63.5%,15:24,"2,275"
127,Mildura,30/09/2021,77.4%,12:48,836
128,Mitchell,30/09/2021,60.2%,16:03,668
129,Moira,30/09/2021,47.7%,19:04,493
130,Monash,30/09/2021,80.9%,12:52,"1,800"
131,Moonee Valley,30/09/2021,78.6%,13:06,"1,419"
132,Moorabool,30/09/2021,52.4%,17:06,441
133,Moreland,30/09/2021,78.2%,13:03,"2,440"
134,Mornington Peninsula,30/09/2021,70.8%,13:18,"2,343"
135,Mount Alexander,30/09/2021,53.2%,17:25,231
136,Moyne,30/09/2021,44.7%,17:57,132
137,Murrindindi,30/09/2021,42.0%,20:58,205
138,Nillumbik,30/09/2021,54.0%,16:44,598
139,Northern Grampians,30/09/2021,67.7%,15:06,226
140,Port Phillip,30/09/2021,85.4%,11:29,"1,169"
141,Pyrenees,30/09/2021,42.3%,21:01,104
142,Queenscliffe,30/09/2021,60.9%,16:35,46
143,South Gippsland,30/09/2021,48.8%,18:20,426
144,Southern Grampians,30/09/2021,58.7%,18:02,172
145,Stonnington,30/09/2021,80.7%,12:53,885
146,Strathbogie,30/09/2021,33.0%,21:55,209
147,Surf Coast,30/09/2021,59.9%,14:55,369
148,Swan Hill,30/09/2021,69.4%,15:17,301
149,Towong,30/09/2021,41.1%,23:16,73
150,Wangaratta,30/09/2021,73.3%,14:29,480
151,Warrnambool,30/09/2021,88.3%,10:31,443
152,Wellington,30/09/2021,56.6%,17:16,656
153,West Wimmera,30/09/2021,39.2%,23:17,51
154,Whitehorse,30/09/2021,85.8%,11:09,"1,615"
155,Whittlesea,30/09/2021,68.4%,14:20,"2,944"
156,Wodonga,30/09/2021,77.4%,13:20,588
157,Wyndham,30/09/2021,74.2%,13:32,"2,704"
158,Yarra,30/09/2021,86.0%,11:09,983
159,Yarra Ranges,30/09/2021,65.6%,14:25,"1,831"
160,Yarriambiack,30/09/2021,37.7%,24:38,106
161,Unincorporated,30/09/2021,60.0%,16:58,35
162,Interstate LGAs,30/09/2021,58.7%,18:22,259
163,Total AV,30/09/2021,73.5%,13:39,"80,460"
164,Alpine,31/12/2021,37.4%,24:43,182
165,Ararat,31/12/2021,59.9%,17:34,167
166,Ballarat,31/12/2021,80.4%,12:53,"1,904"
167,Banyule,31/12/2021,72.8%,14:05,1550
168,Bass Coast,31/12/2021,57.5%,17:03,711
169,Baw Baw,31/12/2021,55.5%,17:09,847
170,Bayside,31/12/2021,67.9%,15:26,878
171,Benalla,31/12/2021,55.7%,17:21,255
172,Boroondara,31/12/2021,75.4%,13:59,"1,409"
173,Brimbank,31/12/2021,67.0%,15:09,"3,162"
174,Buloke,31/12/2021,27.1%,26:10,70
175,Campaspe,31/12/2021,57.0%,16:51,623
176,Cardinia,31/12/2021,53.5%,17:21,"1,573"
177,Casey,31/12/2021,63.3%,15:26,"4,856"
178,Central Goldfields,31/12/2021,51.5%,18:31,231
179,Colac-Otway,31/12/2021,53.3%,19:41,240
180,Corangamite,31/12/2021,49.2%,17:34,252
181,Darebin,31/12/2021,75.2%,13:52,"2,244"
182,East Gippsland,31/12/2021,53.2%,18:51,885
183,Frankston,31/12/2021,74.2%,13:37,"2,406"
184,Gannawarra,31/12/2021,45.6%,21:25,136
185,Glen Eira,31/12/2021,76.1%,13:41,"1,533"
186,Glenelg,31/12/2021,79.0%,13:10,238
187,Golden Plains,31/12/2021,29.9%,20:23,234
188,Greater Bendigo,31/12/2021,70.8%,14:26,"1,983"
189,Greater Dandenong,31/12/2021,73.5%,13:58,"2,623"
190,Greater Geelong,31/12/2021,74.8%,13:13,"4,138"
191,Greater Shepparton,31/12/2021,73.2%,14:02,"1,398"
192,Hepburn,31/12/2021,39.0%,20:35,246
193,Hindmarsh,31/12/2021,53.6%,19:27,112
194,Hobsons Bay,31/12/2021,66.2%,14:34,"1,280"
195,Horsham,31/12/2021,81.2%,12:00,340
196,Hume,31/12/2021,57.5%,16:45,"5,004"
197,Indigo,31/12/2021,35.0%,21:50,180
198,Kingston,31/12/2021,70.0%,14:37,"1,870"
199,Knox,31/12/2021,74.3%,13:52,"1,787"
200,Latrobe,31/12/2021,71.2%,13:33,"1,829"
201,Loddon,31/12/2021,20.6%,25:18,107
202,Macedon Ranges,31/12/2021,57.4%,16:22,589
203,Manningham,31/12/2021,68.5%,14:51,"1,319"
204,Mansfield,31/12/2021,38.8%,26:11,121
205,Maribyrnong,31/12/2021,74.3%,13:53,"1,084"
206,Maroondah,31/12/2021,77.0%,13:12,"1,408"
207,Melbourne,31/12/2021,79.2%,12:31,"2,637"
208,Melton,31/12/2021,53.2%,17:36,"2,905"
209,Mildura,31/12/2021,78.8%,13:05,950
210,Mitchell,31/12/2021,52.6%,17:17,722
211,Moira,31/12/2021,43.7%,21:27,593
212,Monash,31/12/2021,69.8%,14:39,"2,003"
213,Moonee Valley,31/12/2021,68.5%,14:57,"1,666"
214,Moorabool,31/12/2021,43.7%,20:01,449
215,Moreland,31/12/2021,70.6%,14:39,"2,634"
216,Mornington Peninsula,31/12/2021,66.3%,14:36,"2,627"
217,Mount Alexander,31/12/2021,46.5%,18:24,217
218,Moyne,31/12/2021,34.6%,19:52,182
219,Murrindindi,31/12/2021,39.8%,21:58,259
220,Nillumbik,31/12/2021,52.6%,17:02,565
221,Northern Grampians,31/12/2021,62.9%,16:55,197
222,Port Phillip,31/12/2021,75.4%,13:24,"1,429"
223,Pyrenees,31/12/2021,46.2%,20:11,119
224,Queenscliffe,31/12/2021,59.5%,15:27,42
225,South Gippsland,31/12/2021,43.0%,20:12,456
226,Southern Grampians,31/12/2021,61.0%,17:14,187
227,Stonnington,31/12/2021,75.4%,14:05,"1,058"
228,Strathbogie,31/12/2021,28.6%,23:40,210
229,Surf Coast,31/12/2021,57.7%,16:28,421
230,Swan Hill,31/12/2021,64.9%,16:20,319
231,Towong,31/12/2021,32.0%,25:48,75
232,Wangaratta,31/12/2021,74.9%,13:08,506
233,Warrnambool,31/12/2021,86.4%,11:01,485
234,Wellington,31/12/2021,48.8%,19:25,707
235,West Wimmera,31/12/2021,30.0%,23:44,40
236,Whitehorse,31/12/2021,74.2%,13:46,"1,607"
237,Whittlesea,31/12/2021,62.1%,15:29,"3,512"
238,Wodonga,31/12/2021,72.2%,14:59,672
239,Wyndham,31/12/2021,63.5%,15:33,"3,358"
240,Yarra,31/12/2021,78.2%,12:52,"1,182"
241,Yarra Ranges,31/12/2021,59.1%,16:13,"1,943"
242,Yarriambiack,31/12/2021,41.6%,23:40,113
243,Unincorporated,31/12/2021,14.3%,47:11,7
244,Interstate LGAs,31/12/2021,42.6%,21:53,317
245,Total AV,31/12/2021,66.5%,15:11,"91,397"
246,Alpine,31/03/2022,39.5%,23:30,210
247,Ararat,31/03/2022,58.8%,17:17,216
248,Ballarat,31/03/2022,78.4%,13:16,"2,022"
249,Banyule,31/03/2022,72.1%,14:02,"1,550"
250,Bass Coast,31/03/2022,55.6%,17:23,711
251,Baw Baw,31/03/2022,59.9%,16:37,832
252,Bayside,31/03/2022,70.6%,15:22,952
253,Benalla,31/03/2022,55.9%,17:28,254
254,Boroondara,31/03/2022,73.5%,13:52,"1,518"
255,Brimbank,31/03/2022,68.7%,14:37,3157
256,Buloke,31/03/2022,34.0%,27:23,100
257,Campaspe,31/03/2022,55.8%,16:53,640
258,Cardinia,31/03/2022,55.8%,16:56,"1,620"
259,Casey,31/03/2022,63.1%,15:37,"4,770"
260,Central Goldfields,31/03/2022,57.3%,18:34,248
261,Colac-Otway,31/03/2022,64.2%,15:50,268
262,Corangamite,31/03/2022,46.0%,19:19,239
263,Darebin,31/03/2022,77.7%,13:27,"2,231"
264,East Gippsland,31/03/2022,51.0%,20:04,929
265,Frankston,31/03/2022,72.6%,13:43,"2,409"
266,Gannawarra,31/03/2022,37.0%,23:32,138
267,Glen Eira,31/03/2022,72.5%,14:06,"1,551"
268,Glenelg,31/03/2022,67.4%,16:00,273
269,Golden Plains,31/03/2022,32.2%,21:18,236
270,Greater Bendigo,31/03/2022,67.7%,14:59,"2,110"
271,Greater Dandenong,31/03/2022,73.0%,14:09,"2,540"
272,Greater Geelong,31/03/2022,72.0%,13:55,"4,410"
273,Greater Shepparton,31/03/2022,70.6%,14:54,"1,389"
274,Hepburn,31/03/2022,40.4%,20:20,277
275,Hindmarsh,31/03/2022,57.4%,18:47,94
276,Hobsons Bay,31/03/2022,66.3%,14:55,"1,325"
277,Horsham,31/03/2022,73.5%,13:42,336
278,Hume,31/03/2022,62.9%,15:41,"4,584"
279,Indigo,31/03/2022,24.6%,24:51,195
280,Kingston,31/03/2022,71.3%,14:15,"2,058"
281,Knox,31/03/2022,75.6%,13:42,"1,915"
282,Latrobe,31/03/2022,74.8%,12:57,"1,747"
283,Loddon,31/03/2022,18.4%,26:20,136
284,Macedon Ranges,31/03/2022,56.9%,16:35,634
285,Manningham,31/03/2022,63.7%,15:58,"1,282"
286,Mansfield,31/03/2022,45.9%,25:55,85
287,Maribyrnong,31/03/2022,69.2%,15:27,"1,125"
288,Maroondah,31/03/2022,77.5%,13:12,"1,441"
289,Melbourne,31/03/2022,78.1%,12:54,"2,761"
290,Melton,31/03/2022,56.0%,16:41,"2,874"
291,Mildura,31/03/2022,75.6%,13:47,"1,074"
292,Mitchell,31/03/2022,52.4%,18:08,763
293,Moira,31/03/2022,46.9%,20:11,603
294,Monash,31/03/2022,67.3%,15:32,"2,141"
295,Moonee Valley,31/03/2022,69.2%,14:59,"1,589"
296,Moorabool,31/03/2022,43.8%,18:38,493
297,Moreland,31/03/2022,71.9%,14:23,"2,636"
298,Mornington Peninsula,31/03/2022,64.0%,15:21,"2,719"
299,Mount Alexander,31/03/2022,44.3%,18:52,253
300,Moyne,31/03/2022,42.6%,18:02,209
301,Murrindindi,31/03/2022,32.8%,24:43,253
302,Nillumbik,31/03/2022,48.1%,17:37,667
303,Northern Grampians,31/03/2022,57.0%,19:02,223
304,Port Phillip,31/03/2022,74.2%,13:44,"1,436"
305,Pyrenees,31/03/2022,29.3%,22:29,123
306,Queenscliffe,31/03/2022,65.9%,16:29,82
307,South Gippsland,31/03/2022,48.5%,19:20,474
308,Southern Grampians,31/03/2022,68.8%,14:40,234
309,Stonnington,31/03/2022,72.4%,14:52,"1,125"
310,Strathbogie,31/03/2022,25.3%,24:00,233
311,Surf Coast,31/03/2022,57.1%,16:17,478
312,Swan Hill,31/03/2022,67.6%,15:43,327
313,Towong,31/03/2022,34.2%,31:08,73
314,Wangaratta,31/03/2022,70.2%,15:30,517
315,Warrnambool,31/03/2022,86.3%,10:57,527
316,Wellington,31/03/2022,52.0%,19:09,677
317,West Wimmera,31/03/2022,37.9%,23:12,58
318,Whitehorse,31/03/2022,74.8%,13:50,"1,676"
319,Whittlesea,31/03/2022,65.8%,15:25,"3,413"
320,Wodonga,31/03/2022,76.7%,13:08,724
321,Wyndham,31/03/2022,69.1%,14:43,"3,282"
322,Yarra,31/03/2022,78.7%,13:18,"1,300"
323,Yarra Ranges,31/03/2022,60.3%,16:14,"1,953"
324,Yarriambiack,31/03/2022,38.0%,25:27,121
325,Unincorporated,31/03/2022,12.5%,51:19,16
326,Interstate LGAs,31/03/2022,49.7%,20:24,370
327,Total AV,31/03/2022,66.8%,15:15,"93,234"
