,LGA,Period,%_responses_more_than_15min,avg_response_time_min,total_num_first_responses
0,Alpine,30/06/2021,47.3%,22:04,169
1,Ararat,30/06/2021,60.4%,16:57,159
2,Ballarat,30/06/2021,85.0%,11:39,"1,948"
3,Banyule,30/06/2021,79.2%,12:21,"1,626"
4,Bass Coast,30/06/2021,63.4%,16:07,725
5,Baw Baw,30/06/2021,66.3%,14:41,843
6,Bayside,30/06/2021,74.6%,14:17,881
7,Benalla,30/06/2021,56.2%,18:22,274
8,Boroondara,30/06/2021,81.8%,12:55,"1,458"
9,Brimbank,30/06/2021,77.4%,13:04,"2,690"
10,Buloke,30/06/2021,29.3%,28:10, 99
11,Campaspe,30/06/2021,58.5%,16:04,626
12,Cardinia,30/06/2021,61.3%,15:10,"1,389"
13,Casey,30/06/2021,71.4%,13:41,"4,178"
14,Central Goldfields,30/06/2021,55.6%,17:52,239
15,Colac-Otway,30/06/2021,64.4%,15:50,253
16,Corangamite,30/06/2021,54.3%,17:11,230
17,Darebin,30/06/2021,82.2%,12:28,"2,004"
18,East Gippsland,30/06/2021,58.5%,16:38,905
19,Frankston,30/06/2021,80.8%,12:24,"2,356"
20,Gannawarra,30/06/2021,46.6%,20:07,131
21,Glen Eira,30/06/2021,82.5%,12:07,"1,412"
22,Glenelg,30/06/2021,75.2%,12:55,270
23,Golden Plains,30/06/2021,35.4%,19:09,237
24,Greater Bendigo,30/06/2021,75.3%,13:49,"2,068"
25,Greater Dandenong,30/06/2021,80.8%,11:56,"2,176"
26,Greater Geelong,30/06/2021,78.5%,12:35,"4,090"
27,Greater Shepparton,30/06/2021,77.0%,12:51,"1,244"
28,Hepburn,30/06/2021,33.9%,20:48,233
29,Hindmarsh,30/06/2021,51.9%,18:23,104
30,Hobsons Bay,30/06/2021,76.9%,12:50,"1,130"
31,Horsham,30/06/2021,83.3%,11:20,324
32,Hume,30/06/2021,68.4%,14:26,"3,599"
33,Indigo,30/06/2021,26.3%,21:51,171
34,Kingston,30/06/2021,77.5%,12:45,"1,843"
35,Knox,30/06/2021,79.5%,12:29,"1,877"
36,Latrobe,30/06/2021,77.9%,11:56,"1,650"
37,Loddon,30/06/2021,28.8%,25:07,146
38,Macedon Ranges,30/06/2021,58.0%,15:50,600
39,Manningham,30/06/2021,76.6%,13:31,"1,261"
40,Mansfield,30/06/2021,35.4%,27:56,113
41,Maribyrnong,30/06/2021,81.6%,12:09,"1,011"
42,Maroondah,30/06/2021,86.0%,11:06,"1,474"
43,Melbourne,30/06/2021,83.6%,11:32,"2,240"
44,Melton,30/06/2021,62.9%,15:00,"2,265"
45,Mildura,30/06/2021,77.7%,12:51,"1,000"
46,Mitchell,30/06/2021,52.8%,16:57,699
47,Moira,30/06/2021,51.7%,18:54,575
48,Monash,30/06/2021,77.4%,13:02,"1,939"
49,Moonee Valley,30/06/2021,76.6%,13:45,"1,486"
50,Moorabool,30/06/2021,49.8%,16:45,456
51,Moreland,30/06/2021,79.6%,13:05,"2,374"
52,Mornington Peninsula,30/06/2021,67.6%,14:13,"2,670"
