,LGA,Period,%_responses_more_than_15min,avg_response_time_min,total_num_first_responses
0,Alpine,30/06/2018,42.3%,21:33,149
1,Ararat,30/06/2018,70.8%,13:30,168
2,Ballarat,30/06/2018,88.8%,10:25,"1,387"
3,Banyule,30/06/2018,90.4%,9:58,"1,207"
4,Bass Coast,30/06/2018,68.1%,13:57,504
5,Baw Baw,30/06/2018,68.6%,14:21,547
6,Bayside,30/06/2018,88.2%,10:58,823
7,Benalla,30/06/2018,69.0%,13:46,171
8,Boroondara,30/06/2018,89.8%,10:24,"1,253"
9,Brimbank,30/06/2018,88.3%,10:25,"2,210"
10,Buloke,30/06/2018,25.4%,28:25,63
11,Campaspe,30/06/2018,68.2%,14:03,488
12,Cardinia,30/06/2018,71.8%,12:44,"1,004"
13,Casey,30/06/2018,86.8%,10:39,"3,048"
14,Central Goldfields,30/06/2018,68.8%,13:54,189
15,Colac-Otway,30/06/2018,70.0%,13:37,217
16,Corangamite,30/06/2018,50.3%,18:10,143
17,Darebin,30/06/2018,91.6%,9:59,"1,785"
18,East Gippsland,30/06/2018,66.6%,14:32,668
19,Frankston,30/06/2018,92.2%,9:40,"1,783"
20,Gannawarra,30/06/2018,46.5%,18:56,114
21,Glen Eira,30/06/2018,91.7%,9:48,"1,279"
22,Glenelg,30/06/2018,77.4%,12:32,243
23,Golden Plains,30/06/2018,31.0%,18:46,174
24,Greater Bendigo,30/06/2018,83.1%,11:20,"1,470"
25,Greater Dandenong,30/06/2018,92.0%,9:40,"1,938"
26,Greater Geelong,30/06/2018,87.4%,10:48,"3,138"
27,Greater Shepparton,30/06/2018,83.7%,11:16,985
28,Hepburn,30/06/2018,38.3%,18:09,162
29,Hindmarsh,30/06/2018,64.4%,18:21,59
30,Hobsons Bay,30/06/2018,87.6%,10:34,952
31,Horsham,30/06/2018,82.2%,10:49,275
32,Hume,30/06/2018,87.7%,10:37,"2,810"
33,Indigo,30/06/2018,31.1%,19:59,119
34,Kingston,30/06/2018,91.2%,9:52,"1,624"
35,Knox,30/06/2018,90.9%,9:56,"1,529"
36,Latrobe,30/06/2018,80.8%,11:24,"1,330"
37,Loddon,30/06/2018,24.8%,21:29,105
38,Macedon Ranges,30/06/2018,65.2%,13:34,448
39,Manningham,30/06/2018,85.3%,11:36,"1,058"
40,Mansfield,30/06/2018,44.9%,23:35,69
41,Maribyrnong,30/06/2018,91.0%,9:43,854
42,Maroondah,30/06/2018,94.4%,9:02,1255
43,Melbourne,30/06/2018,90.8%,8:55,"2,205"
44,Melton,30/06/2018,85.0%,10:46,"1,533"
45,Mildura,30/06/2018,84.0%,10:49,693
46,Mitchell,30/06/2018,66.9%,13:36,510
47,Moira,30/06/2018,57.2%,16:35,376
48,Monash,30/06/2018,88.8%,10:54,"1,610"
49,Moonee Valley,30/06/2018,87.3%,10:55,"1,281"
50,Moorabool,30/06/2018,71.6%,13:12,328
51,Moreland,30/06/2018,90.0%,10:07,"2,048"
52,Mornington Peninsula,30/06/2018,82.1%,11:12,"1,921"
53,Mount Alexander,30/06/2018,54.9%,16:21,164
54,Moyne,30/06/2018,35.4%,20:20,127
55,Murrindindi,30/06/2018,40.6%,20:18,187
56,Nillumbik,30/06/2018,71.9%,13:03,502
57,Northern Grampians,30/06/2018,58.3%,16:12,127
58,Port Phillip,30/06/2018,91.8%,9:32,"1,152"
59,Pyrenees,30/06/2018,49.1%,18:04,106
60,Queenscliffe,30/06/2018,41.0%,16:07,39
61,South Gippsland,30/06/2018,50.7%,17:07,365
62,Southern Grampians,30/06/2018,66.7%,14:52,117
63,Stonnington,30/06/2018,87.9%,10:44,859
64,Strathbogie,30/06/2018,41.2%,18:58,131
65,Surf Coast,30/06/2018,62.0%,14:38,300
66,Swan Hill,30/06/2018,75.5%,12:42,229
67,Towong,30/06/2018,31.4%,26:26,70
68,Wangaratta,30/06/2018,78.0%,12:20,337
69,Warrnambool,30/06/2018,91.1%,9:37,372
70,Wellington,30/06/2018,57.9%,16:55,539
71,West Wimmera,30/06/2018,29.7%,25:21,37
72,Whitehorse,30/06/2018,92.5%, 9:15,"1,449"
73,Whittlesea,30/06/2018,81.1%,11:31,"2,156"
74,Wodonga,30/06/2018,90.5%,10:02,464
75,Wyndham,30/06/2018,86.0%,10:38,"1,808"
76,Yarra,30/06/2018,93.1%,9:02,"1,108"
77,Yarra Ranges,30/06/2018,77.1%,11:59,"1,508"
78,Yarriambiack,30/06/2018,40.6%,20:57,96
79,Unincorporated,30/06/2018,25.0%,37:15,8
80,Interstate LGAs,30/06/2018,56.1%,17:43,214
81,Total AV,30/06/2018,83.8%,11:12,"66,873"
82,Alpine,30/09/2018,47.4%,21:32,116
83,Ararat,30/09/2018,63.0%,15:46,138
84,Ballarat,30/09/2018,89.2%,10:19,"1,398"
