,LGA,Period,%_responses_more_than_15min,avg_response_time_min,total_num_first_responses
85,Banyule,30/09/2018,89.7%,10:07,"1,254"
86,Bass Coast,30/09/2018,68.9%,13:33,514
87,Baw Baw,30/09/2018,67.8%,14:34,594
88,Bayside,30/09/2018,90.1%,10:24,859
89,Benalla,30/09/2018,57.9%,16:11,183
90,Boroondara,30/09/2018,89.6%,10:24,"1,269"
91,Brimbank,30/09/2018,89.5%,10:18,"2,399"
92,Buloke,30/09/2018,29.0%,25:25,69
93,Campaspe,30/09/2018,73.1%,12:32,450
94,Cardinia,30/09/2018,70.9%,12:39,988
95,Casey,30/09/2018,88.2%,10:25,"3,188"
96,Central Goldfields,30/09/2018,65.0%,16:02,217
97,Colac-Otway,30/09/2018,64.8%,15:44,230
98,Corangamite,30/09/2018,46.1%,18:30,154
99,Darebin,30/09/2018,91.6%,9:54,"1,890"
100,East Gippsland,30/09/2018,66.6%,14:58,713
101,Frankston,30/09/2018,90.0%,9:51,"1,917"
102,Gannawarra,30/09/2018,51.4%,19:01,105
103,Glen Eira,30/09/2018,91.9%,9:41,"1,288"
104,Glenelg,30/09/2018,74.4%,13:06,207
105,Golden Plains,30/09/2018,38.4%,17:48,172
106,Greater Bendigo,30/09/2018,80.4%,11:50,"1,525"
107,Greater Dandenong,30/09/2018,92.2%,9:42,"2,058"
108,Greater Geelong,30/09/2018,86.5%,10:48,"3,286"
109,Greater Shepparton,30/09/2018,84.6%,10:48,967
110,Hepburn,30/09/2018,43.8%,17:51,194
111,Hindmarsh,30/09/2018,39.4%,26:58,66
112,Hobsons Bay,30/09/2018,86.5%,10:39,"1,001"
113,Horsham,30/09/2018,82.0%,10:33,250
114,Hume,30/09/2018,88.1%,10:21,"3,038"
115,Indigo,30/09/2018,29.6%,21:02,125
116,Kingston,30/09/2018,91.5%,9:45,"1,678"
117,Knox,30/09/2018,92.9%,9:44,"1,549"
118,Latrobe,30/09/2018,80.1%,11:34,"1,383"
119,Loddon,30/09/2018,33.3%,21:31,129
120,Macedon Ranges,30/09/2018,65.8%,13:41,444
121,Manningham,30/09/2018,85.1%,11:33,"1,094"
122,Mansfield,30/09/2018,43.8%,23:51,73
123,Maribyrnong,30/09/2018,90.6%,9:36,893
124,Maroondah,30/09/2018,92.9%,9:07,"1,228"
125,Melbourne,30/09/2018,92.2%,8:50,"2,306"
126,Melton,30/09/2018,82.5%,10:58,"1,777"
127,Mildura,30/09/2018,83.7%,10:59,769
128,Mitchell,30/09/2018,65.9%,13:43,531
129,Moira,30/09/2018,62.0%,15:06,418
130,Monash,30/09/2018,88.7%,10:52,"1,677"
131,Moonee Valley,30/09/2018,86.4%,11:02,"1,254"
132,Moorabool,30/09/2018,68.0%,13:19,381
133,Moreland,30/09/2018,89.9%,10:20,"2,036"
134,Mornington Peninsula,30/09/2018,84.4%,10:47,"2,041"
135,Mount Alexander,30/09/2018,51.0%,17:19,204
136,Moyne,30/09/2018,38.2%,17:34,123
137,Murrindindi,30/09/2018,37.9%,21:52,195
138,Nillumbik,30/09/2018,72.2%,13:12,500
139,Northern Grampians,30/09/2018,64.5%,14:30,141
140,Port Phillip,30/09/2018,91.5%,9:13,"1,028"
141,Pyrenees,30/09/2018,49.1%,17:58,116
142,Queenscliffe,30/09/2018,83.3%,12:13,24
143,South Gippsland,30/09/2018,47.4%,17:57,367
144,Southern Grampians,30/09/2018,63.3%,15:39,166
145,Stonnington,30/09/2018,89.3%,10:25,913
146,Strathbogie,30/09/2018,37.0%,20:27,162
147,Surf Coast,30/09/2018,62.6%,15:18,286
148,Swan Hill,30/09/2018,75.7%,13:19,296
149,Towong,30/09/2018,37.3%,20:21,59
150,Wangaratta,30/09/2018,74.5%,13:02,361
151,Warrnambool,30/09/2018,93.3%,9:14,358
152,Wellington,30/09/2018,58.7%,16:43,523
153,West Wimmera,30/09/2018,42.1%,19:31,38
154,Whitehorse,30/09/2018,92.1%,9:26,"1,483"
155,Whittlesea,30/09/2018,81.7%,11:28,"2,246"
156,Wodonga,30/09/2018,85.8%,10:47,514
157,Wyndham,30/09/2018,85.1%,10:53,"2,070"
158,Yarra,30/09/2018,93.0%,8:46,"1,005"
159,Yarra Ranges,30/09/2018,78.5%,11:52,"1,569"
160,Yarriambiack,30/09/2018,35.3%,22:18,102
161,Unincorporated,30/09/2018,50.9%,22:34,57
162,Interstate LGAs,30/09/2018,66.0%,15:59,209
163,Total AV,30/09/2018,83.7%,11:12,"69,598"
164,Alpine,31/12/2018,53.9%,18:49,154
165,Ararat,31/12/2018,61.7%,15:09,141
166,Ballarat,31/12/2018,90.6%,10:16,"1,514"
167,Banyule,31/12/2018,92.8%,9:45,"1,376"
168,Bass Coast,31/12/2018,65.5%,14:29,577
169,Baw Baw,31/12/2018,68.7%,13:41,620
170,Bayside,31/12/2018,89.7%,10:43,905
171,Benalla,31/12/2018,66.7%,13:19,189
172,Boroondara,31/12/2018,89.7%,10:28,"1,306"
173,Brimbank,31/12/2018,90.6%,10:07,"2,568"
174,Buloke,31/12/2018,46.3%,21:30,67
175,Campaspe,31/12/2018,64.7%,13:52,502
176,Cardinia,31/12/2018,75.6%,12:03,"1,157"
177,Casey,31/12/2018,87.3%,10:32,"3,377"
178,Central Goldfields,31/12/2018,65.5%,14:33,223
179,Colac-Otway,31/12/2018,69.0%,14:17,248
180,Corangamite,31/12/2018,49.4%,17:25,180
181,Darebin,31/12/2018,92.3%,9:40,"1,989"
182,East Gippsland,31/12/2018,63.8%,15:09,785
183,Frankston,31/12/2018,92.6%,9:34,"2,004"
184,Gannawarra,31/12/2018,57.4%,16:54,129
185,Glen Eira,31/12/2018,92.2%,9:54,"1,294"
186,Glenelg,31/12/2018,72.2%,13:34,248
187,Golden Plains,31/12/2018,39.5%,17:22,190
188,Greater Bendigo,31/12/2018,81.8%,11:43,"1,607"
189,Greater Dandenong,31/12/2018,92.1%,9:40,"2,136"
190,Greater Geelong,31/12/2018,84.4%,11:06,"3,493"
191,Greater Shepparton,31/12/2018,84.4%,11:03,"1,075"
192,Hepburn,31/12/2018,34.2%,18:49,193
193,Hindmarsh,31/12/2018,60.3%,19:24,78
194,Hobsons Bay,31/12/2018,87.4%,10:43,"1,018"
195,Horsham,31/12/2018,84.8%,10:39,282
196,Hume,31/12/2018,87.7%,10:33,"3,109"
197,Indigo,31/12/2018,27.0%,20:54,122
198,Kingston,31/12/2018,91.4%,10:03,"1,743"
199,Knox,31/12/2018,92.4%,9:40,"1,543"
200,Latrobe,31/12/2018,80.2%,11:12,"1,520"
201,Loddon,31/12/2018,30.7%,21:14,114
202,Macedon Ranges,31/12/2018,66.0%,13:34,529
203,Manningham,31/12/2018,86.1%,11:36,"1,088"
204,Mansfield,31/12/2018,46.7%,22:25,90
205,Maribyrnong,31/12/2018,88.9%,10:11,998
206,Maroondah,31/12/2018,93.4%,9:03,"1,320"
207,Melbourne,31/12/2018,90.8%,9:16,"2,524"
208,Melton,31/12/2018,84.1%,10:58,"1,730"
209,Mildura,31/12/2018,86.3%,10:45,811
210,Mitchell,31/12/2018,67.7%,13:50,535
211,Moira,31/12/2018,60.4%,16:31,455
212,Monash,31/12/2018,89.8%,10:36,"1,748"
213,Moonee Valley,31/12/2018,88.0%,11:03,"1,313"
214,Moorabool,31/12/2018,73.5%,12:17,370
215,Moreland,31/12/2018,90.3%,10:16,"2,093"
216,Mornington Peninsula,31/12/2018,82.7%,10:56,"2,171"
217,Mount Alexander,31/12/2018,51.0%,17:19,208
218,Moyne,31/12/2018,49.6%,17:25,133
219,Murrindindi,31/12/2018,41.7%,20:42,180
220,Nillumbik,31/12/2018,69.1%,13:44,518
221,Northern Grampians,31/12/2018,69.5%,14:33,177
222,Port Phillip,31/12/2018,90.9%,9:47,"1,270"
223,Pyrenees,31/12/2018,44.6%,18:00,130
224,Queenscliffe,31/12/2018,38.5%,16:27,39
225,South Gippsland,31/12/2018,46.2%,18:07,385
226,Southern Grampians,31/12/2018,65.1%,14:50,169
227,Stonnington,31/12/2018,91.4%,9:59,970
228,Strathbogie,31/12/2018,49.7%,16:44,187
229,Surf Coast,31/12/2018,63.4%,14:39, 352
230,Swan Hill,31/12/2018,74.9%,12:15,259
231,Towong,31/12/2018,44.4%,24:45,72
232,Wangaratta,31/12/2018,73.4%,13:15,383
233,Warrnambool,31/12/2018,92.5%,9:35,372
234,Wellington,31/12/2018,58.3%,16:22,571
235,West Wimmera,31/12/2018,34.9%,23:30,43
236,Whitehorse,31/12/2018,92.8%,9:17,"1,577"
237,Whittlesea,31/12/2018,79.0%,11:53,"2,369"
238,Wodonga,31/12/2018,88.5%,10:14,522
239,Wyndham,31/12/2018,88.3%,10:32,"2,103"
240,Yarra,31/12/2018,93.1%,8:50,"1,215"
241,Yarra Ranges,31/12/2018,77.3%,12:07,"1,766"
242,Yarriambiack,31/12/2018,37.5%,21:04,104
243,Unincorporated,31/12/2018,16.7%,39:47,6
244,Interstate LGAs,31/12/2018,54.6%,18:26,238
245,Total AV,31/12/2018,83.9%,11:12,"73,869"
246,Alpine,31/03/2019,44.3%,22:57,167
247,Ararat,31/03/2019,65.3%,14:27,150
248,Ballarat,31/03/2019,89.9%,10:15,"1,503"
249,Banyule,31/03/2019,91.7%,9:41,"1,329"
250,Bass Coast,31/03/2019,69.1%,14:12,601
251,Baw Baw,31/03/2019,68.1%,14:05,621
252,Bayside,31/03/2019,89.4%,10:32,824
253,Benalla,31/03/2019,66.2%,15:08,231
254,Boroondara,31/03/2019,92.2%,9:53,"1,220"
255,Brimbank,31/03/2019,90.1%,10:02,"2,390"
256,Buloke,31/03/2019,37.3%,23:40,83
257,Campaspe,31/03/2019,65.0%,14:20,509
258,Cardinia,31/03/2019,73.3%,12:28,"1,143"
259,Casey,31/03/2019,88.6%,10:22,"3,293"
260,Central Goldfields,31/03/2019,62.1%,14:31,211
261,Colac-Otway,31/03/2019,63.0%,14:58,211
262,Corangamite,31/03/2019,44.9%,19:18,198
263,Darebin,31/03/2019,91.7%,9:37,"1,889"
264,East Gippsland,31/03/2019,65.1%,15:24,760
265,Frankston,31/03/2019,91.5%,9:52,"1,997"
266,Gannawarra,31/03/2019,44.6%,20:56,101
267,Glen Eira,31/03/2019,92.3%,9:46,"1,286"
268,Glenelg,31/03/2019,75.3%,12:46,227
269,Golden Plains,31/03/2019,30.4%,20:28,214
270,Greater Bendigo,31/03/2019,80.6%,11:39,"1,637"
271,Greater Dandenong,31/03/2019,91.5%,9:27,"2,046"
272,Greater Geelong,31/03/2019,83.9%,11:09,3523
273,Greater Shepparton,31/03/2019,86.6%,10:32,"1,021"
274,Hepburn,31/03/2019,38.1%,17:40,189
275,Hindmarsh,31/03/2019,67.2%,16:30,61
276,Hobsons Bay,31/03/2019,90.6%,10:07,956
277,Horsham,31/03/2019,87.0%,10:15,276
278,Hume,31/03/2019,89.5%,10:14,"2,888"
279,Indigo,31/03/2019,24.5%,22:11,155
280,Kingston,31/03/2019,91.5%,9:52,"1,750"
281,Knox,31/03/2019,92.8%,9:27,"1,521"
282,Latrobe,31/03/2019,80.3%,11:22,"1,459"
283,Loddon,31/03/2019,28.1%,21:52,121
284,Macedon Ranges,31/03/2019,68.6%,13:21,487
285,Manningham,31/03/2019,84.5%,11:22,"1,005"
286,Mansfield,31/03/2019,48.8%,22:41,86
287,Maribyrnong,31/03/2019,92.5%,9:31,901
288,Maroondah,31/03/2019,94.9%,8:46,"1,310"
289,Melbourne,31/03/2019,92.3%,8:32,"2,568"
290,Melton,31/03/2019,85.0%,10:32,"1,708"
291,Mildura,31/03/2019,86.9%,10:24,803
292,Mitchell,31/03/2019,68.5%,13:21,552
293,Moira,31/03/2019,61.4%,15:24,438
294,Monash,31/03/2019,89.0%,10:36,"1,716"
295,Moonee Valley,31/03/2019,89.7%,10:45,"1,278"
296,Moorabool,31/03/2019,76.2%,12:21,357
297,Moreland,31/03/2019,92.2%,9:52,"1,969"
298,Mornington Peninsula,31/03/2019,81.8%,11:11,"2,244"
299,Mount Alexander,31/03/2019,50.7%,16:18,201
300,Moyne,31/03/2019,46.2%,17:16,169
301,Murrindindi,31/03/2019,44.2%,20:57,215
302,Nillumbik,31/03/2019,71.1%,13:17,501
303,Northern Grampians,31/03/2019,68.5%,14:05,165
304,Port Phillip,31/03/2019,89.3%,9:38,"1,301"
305,Pyrenees,31/03/2019,52.1%,17:00,96
306,Queenscliffe,31/03/2019,53.5%,16:02,43
307,South Gippsland,31/03/2019,45.2%,19:05, 372
308,Southern Grampians,31/03/2019,65.7%,15:17,175
309,Stonnington,31/03/2019,90.0%,10:18,974
310,Strathbogie,31/03/2019,46.1%,16:53,180
311,Surf Coast,31/03/2019,60.2%,15:34,369
312,Swan Hill,31/03/2019,71.4%,13:16,245
313,Towong,31/03/2019,38.2%,25:40,76
314,Wangaratta,31/03/2019,80.0%,11:44,380
315,Warrnambool,31/03/2019,90.8%,9:45,426
316,Wellington,31/03/2019,59.8%,15:53,557
317,West Wimmera,31/03/2019,34.1%,22:35,41
318,Whitehorse,31/03/2019,93.5%,9:01,"1,540"
319,Whittlesea,31/03/2019,82.2%,11:16,"2,281"
320,Wodonga,31/03/2019,88.5%,10:24,566
321,Wyndham,31/03/2019,90.2%,10:02,"2,040"
322,Yarra,31/03/2019,94.1%,8:33,"1,189"
323,Yarra Ranges,31/03/2019,77.9%,11:44,"1,699"
324,Yarriambiack,31/03/2019,43.3%,20:50,97
325,Unincorporated,31/03/2019,0%,53:59,13
326,Interstate LGAs,31/03/2019,66.3%,16:35,261
327,Total AV,31/03/2019,84.2%,11:04,"72,355"
