,LGA,Period,%_responses_more_than_15min,avg_response_time_min,total_num_first_responses
91,Brimbank,30/09/2019,89.8%,10:37,"2,682"
92,Buloke,30/09/2019,37.1%,22:59,89
93,Campaspe,30/09/2019,67.4%,13:21,494
94,Cardinia,30/09/2019,72.0%,12:34,"1,242"
95,Casey,30/09/2019,85.7%,10:58,"3,582"
96,Central Goldfields,30/09/2019,65.0%,14:51,217
97,Colac-Otway,30/09/2019,70.4%,13:43,206
98,Corangamite,30/09/2019,58.8%,15:19,204
99,Darebin,30/09/2019,90.0%,10:09,"2,020"
100,East Gippsland,30/09/2019,62.5%,15:30,776
101,Frankston,30/09/2019,91.7%,9:48,"2,141"
102,Gannawarra,30/09/2019,48.0%,19:38,100
103,Glen Eira,30/09/2019,91.3%,10:02,"1,405"
104,Glenelg,30/09/2019,81.3%,11:19,219
105,Golden Plains,30/09/2019,36.9%,19:06,203
106,Greater Bendigo,30/09/2019,79.8%,11:51,"1,724"
107,Greater Dandenong,30/09/2019,91.5%,9:45,"2,224"
108,Greater Geelong,30/09/2019,85.2%,11:05,"3,741"
109,Greater Shepparton,30/09/2019,84.8%,10:49,"1,080"
110,Hepburn,30/09/2019,34.7%,19:47,193
111,Hindmarsh,30/09/2019,67.1%,17:53,70
112,Hobsons Bay,30/09/2019,86.8%,10:37,"1,155"
113,Horsham,30/09/2019,83.6%,10:58,299
114,Hume,30/09/2019,85.6%,10:56,"3,503"
115,Indigo,30/09/2019,38.5%,20:04,122
116,Kingston,30/09/2019,90.3%,9:58,"1,785"
117,Knox,30/09/2019,92.1%,9:55,"1,788"
118,Latrobe,30/09/2019,80.0%,11:10,"1,671"
119,Loddon,30/09/2019,34.6%,20:46,107
120,Macedon Ranges,30/09/2019,63.6%,13:51,536
121,Manningham,30/09/2019,85.2%,11:42,"1,173"
122,Mansfield,30/09/2019,45.9%,21:46,85
123,Maribyrnong,30/09/2019,90.9%,10:01,941
124,Maroondah,30/09/2019,93.8%,9:10,"1,366"
125,Melbourne,30/09/2019,91.5%,9:02,"2,542"
126,Melton,30/09/2019,79.9%,11:38,"2,069"
127,Mildura,30/09/2019,85.0%,11:12,819
128,Mitchell,30/09/2019,64.7%,13:30,652
129,Moira,30/09/2019,55.8%,17:02,452
130,Monash,30/09/2019,87.5%,10:51,"1,913"
131,Moonee Valley,30/09/2019,87.7%,11:04,"1,453"
132,Moorabool,30/09/2019,61.9%,14:42,399
133,Moreland,30/09/2019,88.0%,10:42,"2,228"
134,Mornington Peninsula,30/09/2019,83.4%,10:56,"2,211"
135,Mount Alexander,30/09/2019,58.4%,15:16,185
136,Moyne,30/09/2019,41.1%,17:27,151
137,Murrindindi,30/09/2019,37.4%,20:17,195
138,Nillumbik,30/09/2019,71.0%,13:17,541
139,Northern Grampians,30/09/2019,69.7%,15:40,145
140,Port Phillip,30/09/2019,90.6%,9:42,"1,166"
141,Pyrenees,30/09/2019,51.8%,16:54,112
142,Queenscliffe,30/09/2019,60.4%,15:32,48
143,South Gippsland,30/09/2019,49.9%,17:47,377
144,Southern Grampians,30/09/2019,62.1%,16:44,195
145,Stonnington,30/09/2019,87.7%,10:53,944
146,Strathbogie,30/09/2019,36.7%,18:51,169
147,Surf Coast,30/09/2019,68.6%,13:46,299
148,Swan Hill,30/09/2019,74.4%,13:32,250
149,Towong,30/09/2019,45.2%,23:46,73
150,Wangaratta,30/09/2019,74.8%,12:41,421
151,Warrnambool,30/09/2019,93.1%,9:32,434
152,Wellington,30/09/2019,63.2%,14:46,516
153,West Wimmera,30/09/2019,48.6%,18:10,35
154,Whitehorse,30/09/2019,91.1%,9:50,"1,744"
155,Whittlesea,30/09/2019,83.9%,11:07,"2,587"
156,Wodonga,30/09/2019,86.4%,10:41,609
157,Wyndham,30/09/2019,84.0%,11:07,"2,456"
158,Yarra,30/09/2019,93.6%,8:53,"1,139"
159,Yarra Ranges,30/09/2019,77.1%,12:04,"1,765"
160,Yarriambiack,30/09/2019,44.8%,22:06,96
161,Unincorporated,30/09/2019,60.0%,22:03,60
162,Interstate LGAs,30/09/2019,65.8%,15:54,272
163,Total AV,30/09/2019,83.3%,11:19,"78,132"
164,Alpine,31/12/2019,50.7%,19:42,152
165,Ararat,31/12/2019,61.9%,16:20,168
166,Ballarat,31/12/2019,87.6%,10:50,"1,793"
167,Banyule,31/12/2019,87.1%,10:48,"1,454"
168,Bass Coast,31/12/2019,67.5%,14:14,621
169,Baw Baw,31/12/2019,67.6%,14:20,726
170,Bayside,31/12/2019,86.7%,11:19,862
171,Benalla,31/12/2019,63.7%,14:22,201
172,Boroondara,31/12/2019,88.9%,10:49,"1,239"
173,Brimbank,31/12/2019,87.8%,10:45,"2,582"
174,Buloke,31/12/2019,31.4%,24:09,70
175,Campaspe,31/12/2019,63.0%,14:04,525
176,Cardinia,31/12/2019,69.5%,12:59,"1,337"
177,Casey,31/12/2019,84.6%,11:07,"3,619"
178,Central Goldfields,31/12/2019,65.4%,13:54,237
179,Colac-Otway,31/12/2019,68.6%,14:09,280
180,Corangamite,31/12/2019,54.3%,16:27,173
181,Darebin,31/12/2019,89.9%,9:59,"1,965"
182,East Gippsland,31/12/2019,63.3%,14:46,776
183,Frankston,31/12/2019,92.0%,9:42,"2,050"
184,Gannawarra,31/12/2019,42.9%,20:49,133
185,Glen Eira,31/12/2019,89.7%,10:20,"1,454"
186,Glenelg,31/12/2019,76.4%,13:00,229
187,Golden Plains,31/12/2019,31.4%,19:32,194
188,Greater Bendigo,31/12/2019,80.0%,11:56,"1,860"
189,Greater Dandenong,31/12/2019,90.4%,9:53,"2,258"
190,Greater Geelong,31/12/2019,84.8%,11:10,"3,675"
191,Greater Shepparton,31/12/2019,86.2%,10:46,"1,084"
192,Hepburn,31/12/2019,42.4%,17:55,198
193,Hindmarsh,31/12/2019,60.6%,18:07,71
194,Hobsons Bay,31/12/2019,85.6%,11:00,"1,133"
195,Horsham,31/12/2019,85.9%,10:22,277
196,Hume,31/12/2019,84.7%,11:00,"3,242"
197,Indigo,31/12/2019,28.4%,22:06,155
198,Kingston,31/12/2019,89.3%,10:11,"1,752"
199,Knox,31/12/2019,92.2%,9:53,"1,711"
200,Latrobe,31/12/2019,79.7%,11:32,"1,522"
201,Loddon,31/12/2019,37.2%,20:45,129
202,Macedon Ranges,31/12/2019,70.5%,12:58,533
203,Manningham,31/12/2019,83.2%,12:06,"1,187"
204,Mansfield,31/12/2019,31.2%,27:24,93
205,Maribyrnong,31/12/2019,89.8%,10:05,980
206,Maroondah,31/12/2019,92.2%,9:27,"1,452"
207,Melbourne,31/12/2019,91.0%,9:11,"2,827"
208,Melton,31/12/2019,80.5%,11:47,"2,043"
209,Mildura,31/12/2019,85.5%,11:06,881
210,Mitchell,31/12/2019,69.3%,13:39,642
211,Moira,31/12/2019,57.0%,16:18,460
212,Monash,31/12/2019,87.2%,11:01,"1,805"
213,Moonee Valley,31/12/2019,86.6%,11:13,"1,503"
214,Moorabool,31/12/2019,67.8%,13:11,400
215,Moreland,31/12/2019,87.7%,10:54,"2,124"
216,Mornington Peninsula,31/12/2019,81.2%,11:15,2303
217,Mount Alexander,31/12/2019,66.0%,15:03,212
218,Moyne,31/12/2019,36.6%,19:05,164
219,Murrindindi,31/12/2019,37.5%,19:43,200
220,Nillumbik,31/12/2019,71.8%,13:14,589
221,Northern Grampians,31/12/2019,63.5%,16:01,159
222,Port Phillip,31/12/2019,90.4%,9:52,1373
223,Pyrenees,31/12/2019,39.5%,20:06,114
224,Queenscliffe,31/12/2019,66.7%,14:02,54
225,South Gippsland,31/12/2019,49.6%,18:01,415
226,Southern Grampians,31/12/2019,66.8%,14:57,202
227,Stonnington,31/12/2019,88.0%,10:32,"1,064"
228,Strathbogie,31/12/2019,42.2%,19:40,199
229,Surf Coast,31/12/2019,63.6%,14:23,423
230,Swan Hill,31/12/2019,75.2%,13:19,290
231,Towong,31/12/2019,31.3%,24:55,67
232,Wangaratta,31/12/2019,81.3%,11:53,417
233,Warrnambool,31/12/2019,92.1%,10:09,403
234,Wellington,31/12/2019,63.2%,15:21,619
235,West Wimmera,31/12/2019,36.6%,21:27,41
236,Whitehorse,31/12/2019,90.9%,9:53,"1,697"
237,Whittlesea,31/12/2019,84.2%,11:07,"2,541"
238,Wodonga,31/12/2019,87.1%,10:40,630
239,Wyndham,31/12/2019,83.3%,11:23,"2,350"
240,Yarra,31/12/2019,91.0%,9:21,"1,306"
241,Yarra Ranges,31/12/2019,75.7%,12:09,"1,799"
242,Yarriambiack,31/12/2019,38.7%,21:14,93
243,Unincorporated,31/12/2019,0%,61:34,7
244,Interstate LGAs,31/12/2019,56.7%,17:03,252
245,Total AV,31/12/2019,82.5%,11:29,"78,820"
246,Alpine,31/03/2020,49.0%,19:30,145
247,Ararat,31/03/2020,69.6%,14:17,158
248,Ballarat,31/03/2020,87.9%,10:45,"1,715"
249,Banyule,31/03/2020,88.7%,10:10,"1,416"
250,Bass Coast,31/03/2020,67.9%,14:05,611
251,Baw Baw,31/03/2020,68.1%,14:26,730
252,Bayside,31/03/2020,85.5%,11:20,842
253,Benalla,31/03/2020,52.8%,17:25,235
254,Boroondara,31/03/2020,87.7%,10:48,"1,158"
255,Brimbank,31/03/2020,87.5%,10:48,"2,592"
256,Buloke,31/03/2020,34.6%,23:46,81
257,Campaspe,31/03/2020,66.1%,13:34,558
258,Cardinia,31/03/2020,71.3%,13:00,"1,308"
259,Casey,31/03/2020,83.6%,11:21,"3,466"
260,Central Goldfields,31/03/2020,58.8%,16:25,211
261,Colac-Otway,31/03/2020,67.6%,14:32,238
262,Corangamite,31/03/2020,60.2%,15:31,176
263,Darebin,31/03/2020,90.7%,9:49,"1,966"
264,East Gippsland,31/03/2020,60.2%,16:22,759
265,Frankston,31/03/2020,90.2%,10:07,"2,156"
266,Gannawarra,31/03/2020,54.1%,18:49,133
267,Glen Eira,31/03/2020,90.4%,10:25,"1,399"
268,Glenelg,31/03/2020,77.6%,13:16,250
269,Golden Plains,31/03/2020,32.2%,19:10,205
270,Greater Bendigo,31/03/2020,78.8%,12:34,1771
271,Greater Dandenong,31/03/2020,90.9%,10:00,"2,209"
272,Greater Geelong,31/03/2020,82.0%,11:45,"3,786"
273,Greater Shepparton,31/03/2020,83.6%,11:13,"1,119"
274,Hepburn,31/03/2020,38.2%,19:37,204
275,Hindmarsh,31/03/2020,63.7%,18:17,80
276,Hobsons Bay,31/03/2020,85.0%,11:27,"1,053"
277,Horsham,31/03/2020,84.2%,10:15,316
278,Hume,31/03/2020,83.0%,11:27,"3,320"
279,Indigo,31/03/2020,28.7%,21:12,160
280,Kingston,31/03/2020,87.6%,10:23,"1,730"
281,Knox,31/03/2020,89.9%,10:07,"1,691"
282,Latrobe,31/03/2020,78.3%,11:50,"1,534"
283,Loddon,31/03/2020,38.2%,20:52,144
284,Macedon Ranges,31/03/2020,64.9%,13:50,513
285,Manningham,31/03/2020,84.2%,11:51,"1,115"
286,Mansfield,31/03/2020,39.8%,27:39,108
287,Maribyrnong,31/03/2020,88.6%,10:20,"1,012"
288,Maroondah,31/03/2020,91.2%,9:26,"1,299"
289,Melbourne,31/03/2020,91.4%,9:07,"2,591"
290,Melton,31/03/2020,77.4%,12:08,"2,012"
291,Mildura,31/03/2020,84.0%,10:54,839
292,Mitchell,31/03/2020,65.7%,14:39,592
293,Moira,31/03/2020,59.5%,16:02,440
294,Monash,31/03/2020,88.3%,10:51,"1,758"
295,Moonee Valley,31/03/2020,85.7%,11:32,"1,376"
296,Moorabool,31/03/2020,68.5%,13:09,403
297,Moreland,31/03/2020,89.3%,10:34,"2,164"
298,Mornington Peninsula,31/03/2020,79.6%,11:30,"2,428"
299,Mount Alexander,31/03/2020,49.0%,18:20,208
300,Moyne,31/03/2020,42.5%,18:14,160
301,Murrindindi,31/03/2020,46.7%,19:19,212
302,Nillumbik,31/03/2020,66.1%,13:54,487
303,Northern Grampians,31/03/2020,64.8%,13:49,196
304,Port Phillip,31/03/2020,90.3%,9:41,"1,363"
305,Pyrenees,31/03/2020,45.7%,19:30,105
306,Queenscliffe,31/03/2020,68.3%,14:52,60
307,South Gippsland,31/03/2020,49.8%,17:49,402
308,Southern Grampians,31/03/2020,62.8%,17:30,156
309,Stonnington,31/03/2020,90.5%,10:10,995
310,Strathbogie,31/03/2020,50.0%,17:23,176
311,Surf Coast,31/03/2020,64.1%,15:15,379
312,Swan Hill,31/03/2020,75.5%,12:34,318
313,Towong,31/03/2020,36.6%,22:23,82
314,Wangaratta,31/03/2020,79.0%,12:18,439
315,Warrnambool,31/03/2020,93.1%,9:16,432
316,Wellington,31/03/2020,61.7%,15:45,626
317,West Wimmera,31/03/2020,34.2%,25:12,38
318,Whitehorse,31/03/2020,91.7%,9:40,"1,545"
319,Whittlesea,31/03/2020,84.1%,11:13,"2,478"
320,Wodonga,31/03/2020,85.9%,11:16,583
321,Wyndham,31/03/2020,82.1%,11:18,"2,295"
322,Yarra,31/03/2020,91.7%,9:14,"1,272"
323,Yarra Ranges,31/03/2020,75.3%,12:31,"1,771"
324,Yarriambiack,31/03/2020,30.8%,23:24,91
325,Unincorporated,31/03/2020,20.0%,39:37,2
326,Interstate LGAs,31/03/2020,59.7%,18:27,248
327,Total AV,31/03/2020,81.8%,11:39,"77,397"
