,LGA,Period,%_responses_more_than_15min,avg_response_time_min,total_num_first_responses
0,Alpine,30/06/2019,59.3%,17:43,135
1,Ararat,30/06/2019,72.8%,13:10,158
2,Ballarat,30/06/2019,89.2%,10:21,"1,636"
3,Banyule,30/06/2019,91.0%,10:01,"1,463"
4,Bass Coast,30/06/2019,69.4%,13:51,631
5,Baw Baw,30/06/2019,73.2%,13:45,679
6,Bayside,30/06/2019,90.0%,10:18,849
7,Benalla,30/06/2019,63.9%,15:28,219
8,Boroondara,30/06/2019,91.8%,10:16,"1,288"
9,Brimbank,30/06/2019,88.9%,10:21,"2,549"
10,Buloke,30/06/2019,40.0%,22:29,70
11,Campaspe,30/06/2019,66.1%,13:50,496
12,Cardinia,30/06/2019,74.4%,12:15,"1,197"
13,Casey,30/06/2019,87.5%,10:37,"3,533"
14,Central Goldfields,30/06/2019,68.9%,13:41,228
15,Colac-Otway,30/06/2019,65.8%,15:17,257
16,Corangamite,30/06/2019,46.6%,18:06,178
17,Darebin,30/06/2019,92.2%,9:37,"1,903"
18,East Gippsland,30/06/2019,63.5%,15:23,757
19,Frankston,30/06/2019,91.1%,9:42,"2,039"
20,Gannawarra,30/06/2019,48.0%,18:58,125
21,Glen Eira,30/06/2019,91.6%,9:48,"1,326"
22,Glenelg,30/06/2019,80.0%,12:35,260
23,Golden Plains,30/06/2019,30.9%,19:13,178
24,Greater Bendigo,30/06/2019,80.8%,11:57,"1,615"
25,Greater Dandenong,30/06/2019,92.0%,9:46,"2,132"
26,Greater Geelong,30/06/2019,84.4%,11:07,"3,729"
27,Greater Shepparton,30/06/2019,86.7%,10:19,998
28,Hepburn,30/06/2019,33.5%,19:24,212
29,Hindmarsh,30/06/2019,60.3%,17:28,68
30,Hobsons Bay,30/06/2019,88.2%,10:41,"1,065"
31,Horsham,30/06/2019,86.0%,10:42,285
32,Hume,30/06/2019,87.2%,10:37,"3,194"
33,Indigo,30/06/2019,34.3%,19:48,140
34,Kingston,30/06/2019,91.4%,9:53,"1,723"
35,Knox,30/06/2019,92.1%,9:42,"1,750"
36,Latrobe,30/06/2019,82.9%,10:53,"1,581"
37,Loddon,30/06/2019,32.5%,21:49,117
38,Macedon Ranges,30/06/2019,68.3%,13:04,527
39,Manningham,30/06/2019,85.8%,11:31,"1,063"
40,Mansfield,30/06/2019,43.8%,24:32,89
41,Maribyrnong,30/06/2019,90.1%,9:55,907
42,Maroondah,30/06/2019,93.0%,9:13,1275
43,Melbourne,30/06/2019,92.2%,8:51,"2,474"
44,Melton,30/06/2019,82.9%,11:10,"1,907"
45,Mildura,30/06/2019,84.2%,11:10,796
46,Mitchell,30/06/2019,65.2%,14:04,609
47,Moira,30/06/2019,58.2%,15:30,409
48,Monash,30/06/2019,88.8%,10:49,"1,878"
49,Moonee Valley,30/06/2019,87.7%,11:02,"1,452"
50,Moorabool,30/06/2019,68.9%,13:29,386
51,Moreland,30/06/2019,90.2%,10:16,"2,137"
52,Mornington Peninsula,30/06/2019,83.1%,10:59,"2,225"
53,Mount Alexander,30/06/2019,56.5%,15:56,237
54,Moyne,30/06/2019,35.4%,18:56,147
55,Murrindindi,30/06/2019,30.6%,23:09,173
56,Nillumbik,30/06/2019,70.8%,12:56,551
57,Northern Grampians,30/06/2019,69.0%,15:06,142
58,Port Phillip,30/06/2019,91.9%,9:33,"1,195"
59,Pyrenees,30/06/2019,44.4%,18:16,99
60,Queenscliffe,30/06/2019,60.0%,14:54,55
61,South Gippsland,30/06/2019,52.8%,16:57,369
62,Southern Grampians,30/06/2019,57.5%,17:41,200
63,Stonnington,30/06/2019,90.6%,10:03,991
64,Strathbogie,30/06/2019,50.3%,16:54,165
65,Surf Coast,30/06/2019,59.3%,15:38,305
66,Swan Hill,30/06/2019,76.7%,12:36,292
67,Towong,30/06/2019,48.1%,21:21,79
68,Wangaratta,30/06/2019,77.4%,12:42,393
69,Warrnambool,30/06/2019,94.0%,9:17,398
70,Wellington,30/06/2019,63.1%,15:59,632
71,West Wimmera,30/06/2019,39.1%,20:42,46
72,Whitehorse,30/06/2019,92.7%,9:22,"1,650"
73,Whittlesea,30/06/2019,83.6%,11:20,"2,526"
74,Wodonga,30/06/2019,87.2%,10:47,618
75,Wyndham,30/06/2019,88.5%,10:20,"2,305"
76,Yarra,30/06/2019,92.3%,9:05,"1,214"
77,Yarra Ranges,30/06/2019,78.0%,12:01,"1,694"
78,Yarriambiack,30/06/2019,44.6%,20:57,83
79,Unincorporated,30/06/2019,45.5%,20:58,11
80,Interstate LGAs,30/06/2019,61.3%,16:50,269
81,Total AV,30/06/2019,84.1%,11:10,"75,736"
82,Alpine,30/09/2019,51.2%,18:24,160
83,Ararat,30/09/2019,67.2%,13:48,134
84,Ballarat,30/09/2019,89.8%,10:21,"1,750"
85,Banyule,30/09/2019,90.1%,10:08,"1,497"
86,Bass Coast,30/09/2019,66.9%,13:57,577
87,Baw Baw,30/09/2019,69.5%,14:20,758
88,Bayside,30/09/2019,88.7%,10:57,856
89,Benalla,30/09/2019,58.7%,16:22,252
90,Boroondara,30/09/2019,90.4%,10:29,"1,283"
