,LGA,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,total_num_first_responses
0,Alpine,59.3%,17:43,135,51.2%,18:24,160,50.7%,19:42,152,49.0%,19:30,145,108
1,Ararat,72.8%,13:10,158,67.2%,13:48,134,61.9%,16:20,168,69.6%,14:17,158,179
2,Ballarat,89.2%,10:21,"1,636",89.8%,10:21,"1,750",87.6%,10:50,"1,793",87.9%,10:45,"1,715","1,540"
3,Banyule,91.0%,10:01,"1,463",90.1%,10:08,"1,497",87.1%,10:48,"1,454",88.7%,10:10,"1,416","1,226"
4,Bass Coast,69.4%,13:51,631,66.9%,13:57,577,67.5%,14:14,621,67.9%,14:05,611,552
5,Baw Baw,73.2%,13:45,679,69.5%,14:20,758,67.6%,14:20,726,68.1%,14:26,730,700
6,Bayside,90.0%,10:18,849,88.7%,10:57,856,86.7%,11:19,862,85.5%,11:20,842,741
7,Benalla,63.9%,15:28,219,58.7%,16:22,252,63.7%,14:22,201,52.8%,17:25,235,212
8,Boroondara,91.8%,10:16,"1,288",90.4%,10:29,"1,283",88.9%,10:49,"1,239",87.7%,10:48,"1,158","1,075"
9,Brimbank,88.9%,10:21,"2,549",89.8%,10:37,"2,682",87.8%,10:45,"2,582",87.5%,10:48,"2,592","2,225"
10,Buloke,40.0%,22:29,70,37.1%,22:59,89,31.4%,24:09,70,34.6%,23:46,81,74
11,Campaspe,66.1%,13:50,496,67.4%,13:21,494,63.0%,14:04,525,66.1%,13:34,558,465
12,Cardinia,74.4%,12:15,"1,197",72.0%,12:34,"1,242",69.5%,12:59,"1,337",71.3%,13:00,"1,308","1,107"
13,Casey,87.5%,10:37,"3,533",85.7%,10:58,"3,582",84.6%,11:07,"3,619",83.6%,11:21,"3,466","3,208"
14,Central Goldfields,68.9%,13:41,228,65.0%,14:51,217,65.4%,13:54,237,58.8%,16:25,211,221
15,Colac-Otway,65.8%,15:17,257,70.4%,13:43,206,68.6%,14:09,280,67.6%,14:32,238,218
16,Corangamite,46.6%,18:06,178,58.8%,15:19,204,54.3%,16:27,173,60.2%,15:31,176,174
17,Darebin,92.2%,9:37,"1,903",90.0%,10:09,"2,020",89.9%,9:59,"1,965",90.7%,9:49,"1,966","1,559"
18,East Gippsland,63.5%,15:23,757,62.5%,15:30,776,63.3%,14:46,776,60.2%,16:22,759,715
19,Frankston,91.1%,9:42,"2,039",91.7%,9:48,"2,141",92.0%,9:42,"2,050",90.2%,10:07,"2,156","1,772"
20,Gannawarra,48.0%,18:58,125,48.0%,19:38,100,42.9%,20:49,133,54.1%,18:49,133,138
21,Glen Eira,91.6%,9:48,"1,326",91.3%,10:02,"1,405",89.7%,10:20,"1,454",90.4%,10:25,"1,399","1,160"
22,Glenelg,80.0%,12:35,260,81.3%,11:19,219,76.4%,13:00,229,77.6%,13:16,250,233
23,Golden Plains,30.9%,19:13,178,36.9%,19:06,203,31.4%,19:32,194,32.2%,19:10,205,188
24,Greater Bendigo,80.8%,11:57,"1,615",79.8%,11:51,"1,724",80.0%,11:56,"1,860",78.8%,12:34,1771,"1,553"
25,Greater Dandenong,92.0%,9:46,"2,132",91.5%,9:45,"2,224",90.4%,9:53,"2,258",90.9%,10:00,"2,209","1,828"
26,Greater Geelong,84.4%,11:07,"3,729",85.2%,11:05,"3,741",84.8%,11:10,"3,675",82.0%,11:45,"3,786","3,298"
27,Greater Shepparton,86.7%,10:19,998,84.8%,10:49,"1,080",86.2%,10:46,"1,084",83.6%,11:13,"1,119",997
28,Hepburn,33.5%,19:24,212,34.7%,19:47,193,42.4%,17:55,198,38.2%,19:37,204,212
29,Hindmarsh,60.3%,17:28,68,67.1%,17:53,70,60.6%,18:07,71,63.7%,18:17,80,74
30,Hobsons Bay,88.2%,10:41,"1,065",86.8%,10:37,"1,155",85.6%,11:00,"1,133",85.0%,11:27,"1,053",988
31,Horsham,86.0%,10:42,285,83.6%,10:58,299,85.9%,10:22,277,84.2%,10:15,316,283
32,Hume,87.2%,10:37,"3,194",85.6%,10:56,"3,503",84.7%,11:00,"3,242",83.0%,11:27,"3,320","2,808"
33,Indigo,34.3%,19:48,140,38.5%,20:04,122,28.4%,22:06,155,28.7%,21:12,160,110
34,Kingston,91.4%,9:53,"1,723",90.3%,9:58,"1,785",89.3%,10:11,"1,752",87.6%,10:23,"1,730","1,587"
35,Knox,92.1%,9:42,"1,750",92.1%,9:55,"1,788",92.2%,9:53,"1,711",89.9%,10:07,"1,691","1,509"
36,Latrobe,82.9%,10:53,"1,581",80.0%,11:10,"1,671",79.7%,11:32,"1,522",78.3%,11:50,"1,534","1,478"
37,Loddon,32.5%,21:49,117,34.6%,20:46,107,37.2%,20:45,129,38.2%,20:52,144,129
38,Macedon Ranges,68.3%,13:04,527,63.6%,13:51,536,70.5%,12:58,533,64.9%,13:50,513,465
39,Manningham,85.8%,11:31,"1,063",85.2%,11:42,"1,173",83.2%,12:06,"1,187",84.2%,11:51,"1,115",979
40,Mansfield,43.8%,24:32,89,45.9%,21:46,85,31.2%,27:24,93,39.8%,27:39,108,90
41,Maribyrnong,90.1%,9:55,907,90.9%,10:01,941,89.8%,10:05,980,88.6%,10:20,"1,012",839
42,Maroondah,93.0%,9:13,1275,93.8%,9:10,"1,366",92.2%,9:27,"1,452",91.2%,9:26,"1,299","1,190"
43,Melbourne,92.2%,8:51,"2,474",91.5%,9:02,"2,542",91.0%,9:11,"2,827",91.4%,9:07,"2,591","1,567"
44,Melton,82.9%,11:10,"1,907",79.9%,11:38,"2,069",80.5%,11:47,"2,043",77.4%,12:08,"2,012","1,692"
45,Mildura,84.2%,11:10,796,85.0%,11:12,819,85.5%,11:06,881,84.0%,10:54,839,779
46,Mitchell,65.2%,14:04,609,64.7%,13:30,652,69.3%,13:39,642,65.7%,14:39,592,536
47,Moira,58.2%,15:30,409,55.8%,17:02,452,57.0%,16:18,460,59.5%,16:02,440,436
48,Monash,88.8%,10:49,"1,878",87.5%,10:51,"1,913",87.2%,11:01,"1,805",88.3%,10:51,"1,758","1,487"
49,Moonee Valley,87.7%,11:02,"1,452",87.7%,11:04,"1,453",86.6%,11:13,"1,503",85.7%,11:32,"1,376","1,198"
50,Moorabool,68.9%,13:29,386,61.9%,14:42,399,67.8%,13:11,400,68.5%,13:09,403,424
51,Moreland,90.2%,10:16,"2,137",88.0%,10:42,"2,228",87.7%,10:54,"2,124",89.3%,10:34,"2,164","1,963"
52,Mornington Peninsula,83.1%,10:59,"2,225",83.4%,10:56,"2,211",81.2%,11:15,2303,79.6%,11:30,"2,428","2,090"
53,Mount Alexander,56.5%,15:56,237,58.4%,15:16,185,66.0%,15:03,212,49.0%,18:20,208,203
54,Moyne,35.4%,18:56,147,41.1%,17:27,151,36.6%,19:05,164,42.5%,18:14,160,149
55,Murrindindi,30.6%,23:09,173,37.4%,20:17,195,37.5%,19:43,200,46.7%,19:19,212, 175
56,Nillumbik,70.8%,12:56,551,71.0%,13:17,541,71.8%,13:14,589,66.1%,13:54,487,431
57,Northern Grampians,69.0%,15:06,142,69.7%,15:40,145,63.5%,16:01,159,64.8%,13:49,196,158
58,Port Phillip,91.9%,9:33,"1,195",90.6%,9:42,"1,166",90.4%,9:52,1373,90.3%,9:41,"1,363",979
59,Pyrenees,44.4%,18:16,99,51.8%,16:54,112,39.5%,20:06,114,45.7%,19:30,105,128
60,Queenscliffe,60.0%,14:54,55,60.4%,15:32,48,66.7%,14:02,54,68.3%,14:52,60,37
61,South Gippsland,52.8%,16:57,369,49.9%,17:47,377,49.6%,18:01,415,49.8%,17:49,402,357
62,Southern Grampians,57.5%,17:41,200,62.1%,16:44,195,66.8%,14:57,202,62.8%,17:30,156,159
63,Stonnington,90.6%,10:03,991,87.7%,10:53,944,88.0%,10:32,"1,064",90.5%,10:10,995,820
64,Strathbogie,50.3%,16:54,165,36.7%,18:51,169,42.2%,19:40,199,50.0%,17:23,176,160
65,Surf Coast,59.3%,15:38,305,68.6%,13:46,299,63.6%,14:23,423,64.1%,15:15,379,269
66,Swan Hill,76.7%,12:36,292,74.4%,13:32,250,75.2%,13:19,290,75.5%,12:34,318,288
67,Towong,48.1%,21:21,79,45.2%,23:46,73,31.3%,24:55,67,36.6%,22:23,82,81
68,Wangaratta,77.4%,12:42,393,74.8%,12:41,421,81.3%,11:53,417,79.0%,12:18,439,389
69,Warrnambool,94.0%,9:17,398,93.1%,9:32,434,92.1%,10:09,403,93.1%,9:16,432,357
70,Wellington,63.1%,15:59,632,63.2%,14:46,516,63.2%,15:21,619,61.7%,15:45,626,548
71,West Wimmera,39.1%,20:42,46,48.6%,18:10,35,36.6%,21:27,41,34.2%,25:12,38,34
72,Whitehorse,92.7%,9:22,"1,650",91.1%,9:50,"1,744",90.9%,9:53,"1,697",91.7%,9:40,"1,545","1,349"
73,Whittlesea,83.6%,11:20,"2,526",83.9%,11:07,"2,587",84.2%,11:07,"2,541",84.1%,11:13,"2,478","2,263"
74,Wodonga,87.2%,10:47,618,86.4%,10:41,609,87.1%,10:40,630,85.9%,11:16,583,517
75,Wyndham,88.5%,10:20,"2,305",84.0%,11:07,"2,456",83.3%,11:23,"2,350",82.1%,11:18,"2,295","1,899"
76,Yarra,92.3%,9:05,"1,214",93.6%,8:53,"1,139",91.0%,9:21,"1,306",91.7%,9:14,"1,272",874
77,Yarra Ranges,78.0%,12:01,"1,694",77.1%,12:04,"1,765",75.7%,12:09,"1,799",75.3%,12:31,"1,771","1,586"
78,Yarriambiack,44.6%,20:57,83,44.8%,22:06,96,38.7%,21:14,93,30.8%,23:24,91,95
79,Unincorporated,45.5%,20:58,11,60.0%,22:03,60,0%,61:34,7,20.0%,39:37,2,1
80,Interstate LGAs,61.3%,16:50,269,65.8%,15:54,272,56.7%,17:03,252,59.7%,18:27,248,221
81,Total AV,84.1%,11:10,"75,736",83.3%,11:19,"78,132",82.5%,11:29,"78,820",81.8%,11:39,"77,397","66,906"
