,LGA,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,total_num_first_responses
0,Alpine,42.3%,21:33,149,47.4%,21:32,116,53.9%,18:49,154,44.3%,22:57,167,136
1,Ararat,70.8%,13:30,168,63.0%,15:46,138,61.7%,15:09,141,65.3%,14:27,150,159
2,Ballarat,88.8%,10:25,"1,387",89.2%,10:19,"1,398",90.6%,10:16,"1,514",89.9%,10:15,"1,503","1,636"
3,Banyule,90.4%,9:58,"1,207",89.7%,10:07,"1,254",92.8%,9:45,"1,376",91.7%,9:41,"1,329","1,456"
4,Bass Coast,68.1%,13:57,504,68.9%,13:33,514,65.5%,14:29,577,69.1%,14:12,601,633
5,Baw Baw,68.6%,14:21,547,67.8%,14:34,594,68.7%,13:41,620,68.1%,14:05,621,675
6,Bayside,88.2%,10:58,823,90.1%,10:24,859,89.7%,10:43,905,89.4%,10:32,824,845
7,Benalla,69.0%,13:46,171,57.9%,16:11,183,66.7%,13:19,189,66.2%,15:08,231,218
8,Boroondara,89.8%,10:24,"1,253",89.6%,10:24,"1,269",89.7%,10:28,"1,306",92.2%,9:53,"1,220","1,281"
9,Brimbank,88.3%,10:25,"2,210",89.5%,10:18,"2,399",90.6%,10:07,"2,568",90.1%,10:02,"2,390","2,537"
10,Buloke,25.4%,28:25,63,29.0%,25:25,69,46.3%,21:30,67,37.3%,23:40,83,70
11,Campaspe,68.2%,14:03,488,73.1%,12:32,450,64.7%,13:52,502,65.0%,14:20,509,496
12,Cardinia,71.8%,12:44,"1,004",70.9%,12:39,988,75.6%,12:03,"1,157",73.3%,12:28,"1,143","1,198"
13,Casey,86.8%,10:39,"3,048",88.2%,10:25,"3,188",87.3%,10:32,"3,377",88.6%,10:22,"3,293","3,522"
14,Central Goldfields,68.8%,13:54,189,65.0%,16:02,217,65.5%,14:33,223,62.1%,14:31,211,228
15,Colac-Otway,70.0%,13:37,217,64.8%,15:44,230,69.0%,14:17,248,63.0%,14:58,211,258
16,Corangamite,50.3%,18:10,143,46.1%,18:30,154,49.4%,17:25,180,44.9%,19:18,198,177
17,Darebin,91.6%,9:59,"1,785",91.6%,9:54,"1,890",92.3%,9:40,"1,989",91.7%,9:37,"1,889","1,902"
18,East Gippsland,66.6%,14:32,668,66.6%,14:58,713,63.8%,15:09,785,65.1%,15:24,760,754
19,Frankston,92.2%,9:40,"1,783",90.0%,9:51,"1,917",92.6%,9:34,"2,004",91.5%,9:52,"1,997","2,030"
20,Gannawarra,46.5%,18:56,114,51.4%,19:01,105,57.4%,16:54,129,44.6%,20:56,101,126
21,Glen Eira,91.7%,9:48,"1,279",91.9%,9:41,"1,288",92.2%,9:54,"1,294",92.3%,9:46,"1,286","1,317"
22,Glenelg,77.4%,12:32,243,74.4%,13:06,207,72.2%,13:34,248,75.3%,12:46,227,260
23,Golden Plains,31.0%,18:46,174,38.4%,17:48,172,39.5%,17:22,190,30.4%,20:28,214,178
24,Greater Bendigo,83.1%,11:20,"1,470",80.4%,11:50,"1,525",81.8%,11:43,"1,607",80.6%,11:39,"1,637","1,613"
25,Greater Dandenong,92.0%,9:40,"1,938",92.2%,9:42,"2,058",92.1%,9:40,"2,136",91.5%,9:27,"2,046","2,128"
26,Greater Geelong,87.4%,10:48,"3,138",86.5%,10:48,"3,286",84.4%,11:06,"3,493",83.9%,11:09,3523,"3,719"
27,Greater Shepparton,83.7%,11:16,985,84.6%,10:48,967,84.4%,11:03,"1,075",86.6%,10:32,"1,021",998
28,Hepburn,38.3%,18:09,162,43.8%,17:51,194,34.2%,18:49,193,38.1%,17:40,189,211
29,Hindmarsh,64.4%,18:21,59,39.4%,26:58,66,60.3%,19:24,78,67.2%,16:30,61,67
30,Hobsons Bay,87.6%,10:34,952,86.5%,10:39,"1,001",87.4%,10:43,"1,018",90.6%,10:07,956,"1,068"
31,Horsham,82.2%,10:49,275,82.0%,10:33,250,84.8%,10:39,282,87.0%,10:15,276,283
32,Hume,87.7%,10:37,"2,810",88.1%,10:21,"3,038",87.7%,10:33,"3,109",89.5%,10:14,"2,888","3,176"
33,Indigo,31.1%,19:59,119,29.6%,21:02,125,27.0%,20:54,122,24.5%,22:11,155,140
34,Kingston,91.2%,9:52,"1,624",91.5%,9:45,"1,678",91.4%,10:03,"1,743",91.5%,9:52,"1,750","1,706"
35,Knox,90.9%,9:56,"1,529",92.9%,9:44,"1,549",92.4%,9:40,"1,543",92.8%,9:27,"1,521","1,744"
36,Latrobe,80.8%,11:24,"1,330",80.1%,11:34,"1,383",80.2%,11:12,"1,520",80.3%,11:22,"1,459","1,579"
37,Loddon,24.8%,21:29,105,33.3%,21:31,129,30.7%,21:14,114,28.1%,21:52,121,118
38,Macedon Ranges,65.2%,13:34,448,65.8%,13:41,444,66.0%,13:34,529,68.6%,13:21,487,525
39,Manningham,85.3%,11:36,"1,058",85.1%,11:33,"1,094",86.1%,11:36,"1,088",84.5%,11:22,"1,005","1,059"
40,Mansfield,44.9%,23:35,69,43.8%,23:51,73,46.7%,22:25,90,48.8%,22:41,86,89
41,Maribyrnong,91.0%,9:43,854,90.6%,9:36,893,88.9%,10:11,998,92.5%,9:31,901,893
42,Maroondah,94.4%,9:02,1255,92.9%,9:07,"1,228",93.4%,9:03,"1,320",94.9%,8:46,"1,310","1,270"
43,Melbourne,90.8%,8:55,"2,205",92.2%,8:50,"2,306",90.8%,9:16,"2,524",92.3%,8:32,"2,568","2,418"
44,Melton,85.0%,10:46,"1,533",82.5%,10:58,"1,777",84.1%,10:58,"1,730",85.0%,10:32,"1,708","1,898"
45,Mildura,84.0%,10:49,693,83.7%,10:59,769,86.3%,10:45,811,86.9%,10:24,803,793
46,Mitchell,66.9%,13:36,510,65.9%,13:43,531,67.7%,13:50,535,68.5%,13:21,552,606
47,Moira,57.2%,16:35,376,62.0%,15:06,418,60.4%,16:31,455,61.4%,15:24,438,406
48,Monash,88.8%,10:54,"1,610",88.7%,10:52,"1,677",89.8%,10:36,"1,748",89.0%,10:36,"1,716","1,855"
49,Moonee Valley,87.3%,10:55,"1,281",86.4%,11:02,"1,254",88.0%,11:03,"1,313",89.7%,10:45,"1,278","1,448"
50,Moorabool,71.6%,13:12,328,68.0%,13:19,381,73.5%,12:17,370,76.2%,12:21,357,387
51,Moreland,90.0%,10:07,"2,048",89.9%,10:20,"2,036",90.3%,10:16,"2,093",92.2%,9:52,"1,969","2,130"
52,Mornington Peninsula,82.1%,11:12,"1,921",84.4%,10:47,"2,041",82.7%,10:56,"2,171",81.8%,11:11,"2,244","2,220"
53,Mount Alexander,54.9%,16:21,164,51.0%,17:19,204,51.0%,17:19,208,50.7%,16:18,201,235
54,Moyne,35.4%,20:20,127,38.2%,17:34,123,49.6%,17:25,133,46.2%,17:16,169,146
55,Murrindindi,40.6%,20:18,187,37.9%,21:52,195,41.7%,20:42,180,44.2%,20:57,215,173
56,Nillumbik,71.9%,13:03,502,72.2%,13:12,500,69.1%,13:44,518,71.1%,13:17,501,549
57,Northern Grampians,58.3%,16:12,127,64.5%,14:30,141,69.5%,14:33,177,68.5%,14:05,165,141
58,Port Phillip,91.8%,9:32,"1,152",91.5%,9:13,"1,028",90.9%,9:47,"1,270",89.3%,9:38,"1,301","1,178"
59,Pyrenees,49.1%,18:04,106,49.1%,17:58,116,44.6%,18:00,130,52.1%,17:00,96,98
60,Queenscliffe,41.0%,16:07,39,83.3%,12:13,24,38.5%,16:27,39,53.5%,16:02,43,55
61,South Gippsland,50.7%,17:07,365,47.4%,17:57,367,46.2%,18:07,385,45.2%,19:05, 372,369
62,Southern Grampians,66.7%,14:52,117,63.3%,15:39,166,65.1%,14:50,169,65.7%,15:17,175,199
63,Stonnington,87.9%,10:44,859,89.3%,10:25,913,91.4%,9:59,970,90.0%,10:18,974,979
64,Strathbogie,41.2%,18:58,131,37.0%,20:27,162,49.7%,16:44,187,46.1%,16:53,180,165
65,Surf Coast,62.0%,14:38,300,62.6%,15:18,286,63.4%,14:39, 352,60.2%,15:34,369,303
66,Swan Hill,75.5%,12:42,229,75.7%,13:19,296,74.9%,12:15,259,71.4%,13:16,245,292
67,Towong,31.4%,26:26,70,37.3%,20:21,59,44.4%,24:45,72,38.2%,25:40,76,78
68,Wangaratta,78.0%,12:20,337,74.5%,13:02,361,73.4%,13:15,383,80.0%,11:44,380,392
69,Warrnambool,91.1%,9:37,372,93.3%,9:14,358,92.5%,9:35,372,90.8%,9:45,426,400
70,Wellington,57.9%,16:55,539,58.7%,16:43,523,58.3%,16:22,571,59.8%,15:53,557,630
71,West Wimmera,29.7%,25:21,37,42.1%,19:31,38,34.9%,23:30,43,34.1%,22:35,41,47
72,Whitehorse,92.5%, 9:15,"1,449",92.1%,9:26,"1,483",92.8%,9:17,"1,577",93.5%,9:01,"1,540","1,635"
73,Whittlesea,81.1%,11:31,"2,156",81.7%,11:28,"2,246",79.0%,11:53,"2,369",82.2%,11:16,"2,281","2,520"
74,Wodonga,90.5%,10:02,464,85.8%,10:47,514,88.5%,10:14,522,88.5%,10:24,566,618
75,Wyndham,86.0%,10:38,"1,808",85.1%,10:53,"2,070",88.3%,10:32,"2,103",90.2%,10:02,"2,040","2,302"
76,Yarra,93.1%,9:02,"1,108",93.0%,8:46,"1,005",93.1%,8:50,"1,215",94.1%,8:33,"1,189","1,202"
77,Yarra Ranges,77.1%,11:59,"1,508",78.5%,11:52,"1,569",77.3%,12:07,"1,766",77.9%,11:44,"1,699","1,688"
78,Yarriambiack,40.6%,20:57,96,35.3%,22:18,102,37.5%,21:04,104,43.3%,20:50,97,84
79,Unincorporated,25.0%,37:15,8,50.9%,22:34,57,16.7%,39:47,6,0%,53:59,13,12
80,Interstate LGAs,56.1%,17:43,214,66.0%,15:59,209,54.6%,18:26,238,66.3%,16:35,261,269
81,Total AV,83.8%,11:12,"66,873",83.7%,11:12,"69,598",83.9%,11:12,"73,869",84.2%,11:04,"72,355","75,398"
